Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
Australia,2019-FY,2019-W01,81667,2019,1,2019-01-07
Australia,2019-FY,2019-W02,79560,2019,2,2019-01-14
Australia,2019-FY,2019-W03,85064,2019,3,2019-01-21
Australia,2019-FY,2019-W04,87045,2019,4,2019-01-28
Australia,2019-FY,2019-W05,87093,2019,5,2019-02-04
Australia,2019-FY,2019-W06,80926,2019,6,2019-02-11
Australia,2019-FY,2019-W07,66183,2019,7,2019-02-18
Australia,2019-FY,2019-W08,59474,2019,8,2019-02-25
Australia,2019-FY,2019-W09,57385,2019,9,2019-03-04
Australia,2019-FY,2019-W10,63437,2019,10,2019-03-11
Australia,2019-FY,2019-W11,68970,2019,11,2019-03-18
Australia,2019-FY,2019-W12,64164,2019,12,2019-03-25
Australia,2019-FY,2019-W13,68418,2019,13,2019-04-01
Australia,2019-FY,2019-W14,70643,2019,14,2019-04-08
Australia,2019-FY,2019-W15,78920,2019,15,2019-04-15
Australia,2019-FY,2019-W16,75103,2019,16,2019-04-22
Australia,2019-FY,2019-W17,75558,2019,17,2019-04-29
Australia,2019-FY,2019-W18,79822,2019,18,2019-05-06
Australia,2019-FY,2019-W19,77952,2019,19,2019-05-13
Australia,2019-FY,2019-W20,91022,2019,20,2019-05-20
Australia,2019-FY,2019-W21,101908,2019,21,2019-05-27
Australia,2019-FY,2019-W22,85026,2019,22,2019-06-03
Australia,2019-FY,2019-W23,84130,2019,23,2019-06-10
Australia,2019-FY,2019-W24,85645,2019,24,2019-06-17
Australia,2019-FY,2019-W25,85247,2019,25,2019-06-24
Australia,2019-FY,2019-W26,85127,2019,26,2019-07-01
Australia,2019-FY,2019-W27,82691,2019,27,2019-07-08
Australia,2019-FY,2019-W28,78715,2019,28,2019-07-15
Australia,2019-FY,2019-W29,76587,2019,29,2019-07-22
Australia,2019-FY,2019-W30,75629,2019,30,2019-07-29
Australia,2019-FY,2019-W31,74114,2019,31,2019-08-05
Australia,2019-FY,2019-W32,73187,2019,32,2019-08-12
Australia,2019-FY,2019-W33,71791,2019,33,2019-08-19
Australia,2019-FY,2019-W34,64614,2019,34,2019-08-26
Australia,2019-FY,2019-W35,63197,2019,35,2019-09-02
Australia,2019-FY,2019-W36,69028,2019,36,2019-09-09
Australia,2019-FY,2019-W37,72369,2019,37,2019-09-16
Australia,2019-FY,2019-W38,67212,2019,38,2019-09-23
Australia,2019-FY,2019-W39,73848,2019,39,2019-09-30
Australia,2019-FY,2019-W40,76946,2019,40,2019-10-07
Australia,2019-FY,2019-W41,84210,2019,41,2019-10-14
Australia,2019-FY,2019-W42,110168,2019,42,2019-10-21
Australia,2019-FY,2019-W43,92808,2019,43,2019-10-28
Australia,2019-FY,2019-W44,70903,2019,44,2019-11-04
Australia,2019-FY,2019-W45,70445,2019,45,2019-11-11
Australia,2019-FY,2019-W46,65587,2019,46,2019-11-18
Australia,2019-FY,2019-W47,82320,2019,47,2019-11-25
Australia,2019-FY,2019-W48,67483,2019,48,2019-12-02
Australia,2019-FY,2019-W49,76463,2019,49,2019-12-09
Australia,2019-FY,2019-W50,75138,2019,50,2019-12-16
Australia,2019-FY,2019-W51,75138,2019,51,2019-12-23
Australia,2019-FY,2019-W52,74811,2019,52,2019-12-30
Australia,2020-FY,2020-W01,78728,2020,1,2020-01-06
Australia,2020-FY,2020-W02,79008,2020,2,2020-01-13
Australia,2020-FY,2020-W03,84547,2020,3,2020-01-20
Australia,2020-FY,2020-W04,86499,2020,4,2020-01-27
Australia,2020-FY,2020-W05,87093,2020,5,2020-02-03
Australia,2020-FY,2020-W06,83647,2020,6,2020-02-10
Australia,2020-FY,2020-W07,88082,2020,7,2020-02-17
Australia,2020-FY,2020-W08,86769,2020,8,2020-02-24
Australia,2020-FY,2020-W09,79687,2020,9,2020-03-02
Australia,2020-FY,2020-W10,77419,2020,10,2020-03-09
Australia,2020-FY,2020-W11,74004,2020,11,2020-03-16
Australia,2020-FY,2020-W12,66606,2020,12,2020-03-23
Australia,2020-FY,2020-W13,70257,2020,13,2020-03-30
Australia,2020-FY,2020-W14,74765,2020,14,2020-04-06
Australia,2020-FY,2020-W15,76245,2020,15,2020-04-13
Australia,2020-FY,2020-W16,85132,2020,16,2020-04-20
Australia,2020-FY,2020-W17,85882,2020,17,2020-04-27
Australia,2020-FY,2020-W18,91174,2020,18,2020-05-04
Australia,2020-FY,2020-W19,94546,2020,19,2020-05-11
Australia,2020-FY,2020-W20,103332,2020,20,2020-05-18
Australia,2020-FY,2020-W21,115907,2020,21,2020-05-25
Australia,2020-FY,2020-W22,100982,2020,22,2020-06-01
Australia,2020-FY,2020-W23,83336,2020,23,2020-06-08
Australia,2020-FY,2020-W24,83248,2020,24,2020-06-15
Australia,2020-FY,2020-W25,82192,2020,25,2020-06-22
Australia,2020-FY,2020-W26,83522,2020,26,2020-06-29
Australia,2020-FY,2020-W27,87538,2020,27,2020-07-06
Australia,2020-FY,2020-W28,87055,2020,28,2020-07-13
Australia,2020-FY,2020-W29,86288,2020,29,2020-07-20
Australia,2020-FY,2020-W30,86647,2020,30,2020-07-27
Australia,2020-FY,2020-W31,80362,2020,31,2020-08-03
Australia,2020-FY,2020-W32,78974,2020,32,2020-08-10
Australia,2020-FY,2020-W33,74596,2020,33,2020-08-17
Australia,2020-FY,2020-W34,68142,2020,34,2020-08-24
Australia,2020-FY,2020-W35,69211,2020,35,2020-08-31
Australia,2020-FY,2020-W36,71099,2020,36,2020-09-07
Australia,2020-FY,2020-W37,76979,2020,37,2020-09-14
Australia,2020-FY,2020-W38,72149,2020,38,2020-09-21
Australia,2020-FY,2020-W39,73032,2020,39,2020-09-28
Australia,2020-FY,2020-W40,77005,2020,40,2020-10-05
Australia,2020-FY,2020-W41,88223,2020,41,2020-10-12
Australia,2020-FY,2020-W42,90913,2020,42,2020-10-19
Australia,2020-FY,2020-W43,141302,2020,43,2020-10-26
Australia,2020-FY,2020-W44,114990,2020,44,2020-11-02
Australia,2020-FY,2020-W45,75214,2020,45,2020-11-09
Australia,2020-FY,2020-W46,68975,2020,46,2020-11-16
Australia,2020-FY,2020-W47,87734,2020,47,2020-11-23
Australia,2020-FY,2020-W48,74333,2020,48,2020-11-30
Australia,2020-FY,2020-W49,76140,2020,49,2020-12-07
Australia,2020-FY,2020-W50,79756,2020,50,2020-12-14
Australia,2020-FY,2020-W51,77115,2020,51,2020-12-21
Australia,2020-FY,2020-W52,75617,2020,52,2020-12-28
Australia,2021-FY,2021-W01,97927,2021,1,2021-01-04
Australia,2021-FY,2021-W02,102296,2021,2,2021-01-11
Australia,2021-FY,2021-W03,84559,2021,3,2021-01-18
Australia,2021-FY,2021-W04,74455,2021,4,2021-01-25
Australia,2021-FY,2021-W05,73648,2021,5,2021-02-01
Australia,2021-FY,2021-W06,74028,2021,6,2021-02-08
Australia,2021-FY,2021-W07,98208,2021,7,2021-02-15
Australia,2021-FY,2021-W08,114401,2021,8,2021-02-22
Australia,2021-FY,2021-W09,116226,2021,9,2021-03-01
Australia,2021-FY,2021-W10,112639,2021,10,2021-03-08
Australia,2021-FY,2021-W11,86864,2021,11,2021-03-15
