Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
Brazil,2019-FY,2019-W01,122154,2019,1,2019-01-07
Brazil,2019-FY,2019-W02,100400,2019,2,2019-01-14
Brazil,2019-FY,2019-W03,144011,2019,3,2019-01-21
Brazil,2019-FY,2019-W04,148061,2019,4,2019-01-28
Brazil,2019-FY,2019-W05,143469,2019,5,2019-02-04
Brazil,2019-FY,2019-W06,194833,2019,6,2019-02-11
Brazil,2019-FY,2019-W07,206004,2019,7,2019-02-18
Brazil,2019-FY,2019-W08,176547,2019,8,2019-02-25
Brazil,2019-FY,2019-W09,170377,2019,9,2019-03-04
Brazil,2019-FY,2019-W10,170377,2019,10,2019-03-11
Brazil,2019-FY,2019-W11,170614,2019,11,2019-03-18
Brazil,2019-FY,2019-W12,166966,2019,12,2019-03-25
Brazil,2019-FY,2019-W13,154535,2019,13,2019-04-01
Brazil,2019-FY,2019-W14,164773,2019,14,2019-04-08
Brazil,2019-FY,2019-W15,163223,2019,15,2019-04-15
Brazil,2019-FY,2019-W16,147186,2019,16,2019-04-22
Brazil,2019-FY,2019-W17,125828,2019,17,2019-04-29
Brazil,2019-FY,2019-W18,144773,2019,18,2019-05-06
Brazil,2019-FY,2019-W19,141560,2019,19,2019-05-13
Brazil,2019-FY,2019-W20,142014,2019,20,2019-05-20
Brazil,2019-FY,2019-W21,143156,2019,21,2019-05-27
Brazil,2019-FY,2019-W22,146342,2019,22,2019-06-03
Brazil,2019-FY,2019-W23,153381,2019,23,2019-06-10
Brazil,2019-FY,2019-W24,154211,2019,24,2019-06-17
Brazil,2019-FY,2019-W25,171410,2019,25,2019-06-24
Brazil,2019-FY,2019-W26,159547,2019,26,2019-07-01
Brazil,2019-FY,2019-W27,167777,2019,27,2019-07-08
Brazil,2019-FY,2019-W28,165160,2019,28,2019-07-15
Brazil,2019-FY,2019-W29,180961,2019,29,2019-07-22
Brazil,2019-FY,2019-W30,184438,2019,30,2019-07-29
Brazil,2019-FY,2019-W31,151173,2019,31,2019-08-05
Brazil,2019-FY,2019-W32,166401,2019,32,2019-08-12
Brazil,2019-FY,2019-W33,151846,2019,33,2019-08-19
Brazil,2019-FY,2019-W34,147268,2019,34,2019-08-26
Brazil,2019-FY,2019-W35,138762,2019,35,2019-09-02
Brazil,2019-FY,2019-W36,117757,2019,36,2019-09-09
Brazil,2019-FY,2019-W37,143913,2019,37,2019-09-16
Brazil,2019-FY,2019-W38,164066,2019,38,2019-09-23
Brazil,2019-FY,2019-W39,159287,2019,39,2019-09-30
Brazil,2019-FY,2019-W40,177946,2019,40,2019-10-07
Brazil,2019-FY,2019-W41,164789,2019,41,2019-10-14
Brazil,2019-FY,2019-W42,410366,2019,42,2019-10-21
Brazil,2019-FY,2019-W43,263597,2019,43,2019-10-28
Brazil,2019-FY,2019-W44,177818,2019,44,2019-11-04
Brazil,2019-FY,2019-W45,144470,2019,45,2019-11-11
Brazil,2019-FY,2019-W46,126447,2019,46,2019-11-18
Brazil,2019-FY,2019-W47,93675,2019,47,2019-11-25
Brazil,2019-FY,2019-W48,115273,2019,48,2019-12-02
Brazil,2019-FY,2019-W49,204064,2019,49,2019-12-09
Brazil,2019-FY,2019-W50,209912,2019,50,2019-12-16
Brazil,2019-FY,2019-W51,209912,2019,51,2019-12-23
Brazil,2019-FY,2019-W52,182125,2019,52,2019-12-30
Brazil,2020-FY,2020-W01,206544,2020,1,2020-01-06
Brazil,2020-FY,2020-W02,245259,2020,2,2020-01-13
Brazil,2020-FY,2020-W03,238026,2020,3,2020-01-20
Brazil,2020-FY,2020-W04,184630,2020,4,2020-01-27
Brazil,2020-FY,2020-W05,143469,2020,5,2020-02-03
Brazil,2020-FY,2020-W06,218009,2020,6,2020-02-10
Brazil,2020-FY,2020-W07,239252,2020,7,2020-02-17
Brazil,2020-FY,2020-W08,228785,2020,8,2020-02-24
Brazil,2020-FY,2020-W09,193175,2020,9,2020-03-02
Brazil,2020-FY,2020-W10,179525,2020,10,2020-03-09
Brazil,2020-FY,2020-W11,154956,2020,11,2020-03-16
Brazil,2020-FY,2020-W12,162858,2020,12,2020-03-23
Brazil,2020-FY,2020-W13,167306,2020,13,2020-03-30
Brazil,2020-FY,2020-W14,172059,2020,14,2020-04-06
Brazil,2020-FY,2020-W15,181773,2020,15,2020-04-13
Brazil,2020-FY,2020-W16,181738,2020,16,2020-04-20
Brazil,2020-FY,2020-W17,192509,2020,17,2020-04-27
Brazil,2020-FY,2020-W18,168442,2020,18,2020-05-04
Brazil,2020-FY,2020-W19,183876,2020,19,2020-05-11
Brazil,2020-FY,2020-W20,176749,2020,20,2020-05-18
Brazil,2020-FY,2020-W21,190984,2020,21,2020-05-25
Brazil,2020-FY,2020-W22,172082,2020,22,2020-06-01
Brazil,2020-FY,2020-W23,158826,2020,23,2020-06-08
Brazil,2020-FY,2020-W24,166369,2020,24,2020-06-15
Brazil,2020-FY,2020-W25,202939,2020,25,2020-06-22
Brazil,2020-FY,2020-W26,173950,2020,26,2020-06-29
Brazil,2020-FY,2020-W27,191305,2020,27,2020-07-06
Brazil,2020-FY,2020-W28,222955,2020,28,2020-07-13
Brazil,2020-FY,2020-W29,217469,2020,29,2020-07-20
Brazil,2020-FY,2020-W30,206487,2020,30,2020-07-27
Brazil,2020-FY,2020-W31,182979,2020,31,2020-08-03
Brazil,2020-FY,2020-W32,179615,2020,32,2020-08-10
Brazil,2020-FY,2020-W33,177648,2020,33,2020-08-17
Brazil,2020-FY,2020-W34,175841,2020,34,2020-08-24
Brazil,2020-FY,2020-W35,175699,2020,35,2020-08-31
Brazil,2020-FY,2020-W36,172270,2020,36,2020-09-07
Brazil,2020-FY,2020-W37,176114,2020,37,2020-09-14
Brazil,2020-FY,2020-W38,174086,2020,38,2020-09-21
Brazil,2020-FY,2020-W39,162520,2020,39,2020-09-28
Brazil,2020-FY,2020-W40,198505,2020,40,2020-10-05
Brazil,2020-FY,2020-W41,198722,2020,41,2020-10-12
Brazil,2020-FY,2020-W42,222149,2020,42,2020-10-19
Brazil,2020-FY,2020-W43,479477,2020,43,2020-10-26
Brazil,2020-FY,2020-W44,302030,2020,44,2020-11-02
Brazil,2020-FY,2020-W45,205494,2020,45,2020-11-09
Brazil,2020-FY,2020-W46,157177,2020,46,2020-11-16
Brazil,2020-FY,2020-W47,126495,2020,47,2020-11-23
Brazil,2020-FY,2020-W48,131922,2020,48,2020-11-30
Brazil,2020-FY,2020-W49,239001,2020,49,2020-12-07
Brazil,2020-FY,2020-W50,260200,2020,50,2020-12-14
Brazil,2020-FY,2020-W51,281775,2020,51,2020-12-21
Brazil,2020-FY,2020-W52,212837,2020,52,2020-12-28
Brazil,2021-FY,2021-W01,227181,2021,1,2021-01-04
Brazil,2021-FY,2021-W02,246992,2021,2,2021-01-11
Brazil,2021-FY,2021-W03,210540,2021,3,2021-01-18
Brazil,2021-FY,2021-W04,122603,2021,4,2021-01-25
Brazil,2021-FY,2021-W05,160652,2021,5,2021-02-01
Brazil,2021-FY,2021-W06,157377,2021,6,2021-02-08
Brazil,2021-FY,2021-W07,163215,2021,7,2021-02-15
Brazil,2021-FY,2021-W08,173143,2021,8,2021-02-22
Brazil,2021-FY,2021-W09,230808,2021,9,2021-03-01
Brazil,2021-FY,2021-W10,205848,2021,10,2021-03-08
Brazil,2021-FY,2021-W11,166413,2021,11,2021-03-15
Brazil,2021-FY,2021-W12,186104,2021,12,2021-03-22
Brazil,2021-FY,2021-W13,180514,2021,13,2021-03-29
Brazil,2021-FY,2021-W14,208758,2021,14,2021-04-05
Brazil,2021-FY,2021-W15,213595,2021,15,2021-04-12
Brazil,2021-FY,2021-W16,211706,2021,16,2021-04-19
Brazil,2021-FY,2021-W17,196648,2021,17,2021-04-26
Brazil,2021-FY,2021-W18,194818,2021,18,2021-05-03
Brazil,2021-FY,2021-W19,208312,2021,19,2021-05-10
Brazil,2021-FY,2021-W20,213420,2021,20,2021-05-17
Brazil,2021-FY,2021-W21,198420,2021,21,2021-05-24
Brazil,2021-FY,2021-W22,202281,2021,22,2021-05-31
Brazil,2021-FY,2021-W23,202155,2021,23,2021-06-07
Brazil,2021-FY,2021-W24,211653,2021,24,2021-06-14
Brazil,2021-FY,2021-W25,205422,2021,25,2021-06-21
Brazil,2021-FY,2021-W26,210534,2021,26,2021-06-28
Brazil,2021-FY,2021-W27,198816,2021,27,2021-07-05
Brazil,2021-FY,2021-W28,199789,2021,28,2021-07-12
Brazil,2021-FY,2021-W29,210828,2021,29,2021-07-19
Brazil,2021-FY,2021-W30,197985,2021,30,2021-07-26
Brazil,2021-FY,2021-W31,181627,2021,31,2021-08-02
Brazil,2021-FY,2021-W32,155574,2021,32,2021-08-09
Brazil,2021-FY,2021-W33,161512,2021,33,2021-08-16
Brazil,2021-FY,2021-W34,159310,2021,34,2021-08-23
Brazil,2021-FY,2021-W35,150206,2021,35,2021-08-30
Brazil,2021-FY,2021-W36,143553,2021,36,2021-09-06
Brazil,2021-FY,2021-W37,132432,2021,37,2021-09-13
Brazil,2021-FY,2021-W38,153110,2021,38,2021-09-20
Brazil,2021-FY,2021-W39,147145,2021,39,2021-09-27
Brazil,2021-FY,2021-W40,147302,2021,40,2021-10-04
Brazil,2021-FY,2021-W41,180765,2021,41,2021-10-11
Brazil,2021-FY,2021-W42,182162,2021,42,2021-10-18
Brazil,2021-FY,2021-W43,334621,2021,43,2021-10-25
Brazil,2021-FY,2021-W44,222245,2021,44,2021-11-01
Brazil,2021-FY,2021-W45,159147,2021,45,2021-11-08
Brazil,2021-FY,2021-W46,139567,2021,46,2021-11-15
Brazil,2021-FY,2021-W47,96614,2021,47,2021-11-22
Brazil,2021-FY,2021-W48,96291,2021,48,2021-11-29
Brazil,2021-FY,2021-W49,161761,2021,49,2021-12-06
Brazil,2021-FY,2021-W50,173784,2021,50,2021-12-13
Brazil,2021-FY,2021-W51,186099,2021,51,2021-12-20
Brazil,2021-FY,2021-W52,189375,2021,52,2021-12-27
Brazil,2022-FY,2022-W01,182522,2022,1,2022-01-03
Brazil,2022-FY,2022-W02,194064,2022,2,2022-01-10
Brazil,2022-FY,2022-W03,177469,2022,3,2022-01-17
Brazil,2022-FY,2022-W04,194311,2022,4,2022-01-24
Brazil,2022-FY,2022-W05,215263,2022,5,2022-01-31
Brazil,2022-FY,2022-W06,217239,2022,6,2022-02-07
Brazil,2022-FY,2022-W07,228927,2022,7,2022-02-14
Brazil,2022-FY,2022-W08,209447,2022,8,2022-02-21
Brazil,2022-FY,2022-W09,173696,2022,9,2022-02-28
Brazil,2022-FY,2022-W10,185579,2022,10,2022-03-07
Brazil,2022-FY,2022-W11,192568,2022,11,2022-03-14
Brazil,2022-FY,2022-W12,182475,2022,12,2022-03-21
Brazil,2022-FY,2022-W13,184030,2022,13,2022-03-28
Brazil,2022-FY,2022-W14,169491,2022,14,2022-04-04
Brazil,2022-FY,2022-W15,164203,2022,15,2022-04-11
Brazil,2022-FY,2022-W16,168914,2022,16,2022-04-18
Brazil,2022-FY,2022-W17,169266,2022,17,2022-04-25
Brazil,2022-FY,2022-W18,167645,2022,18,2022-05-02
Brazil,2022-FY,2022-W19,184203,2022,19,2022-05-09
Brazil,2022-FY,2022-W20,182724,2022,20,2022-05-16
