Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
Canada,2019-FY,2019-W01,112061,2019,1,2019-01-07
Canada,2019-FY,2019-W02,107566,2019,2,2019-01-14
Canada,2019-FY,2019-W03,107897,2019,3,2019-01-21
Canada,2019-FY,2019-W04,113927,2019,4,2019-01-28
Canada,2019-FY,2019-W05,114216,2019,5,2019-02-04
Canada,2019-FY,2019-W06,107404,2019,6,2019-02-11
Canada,2019-FY,2019-W07,107300,2019,7,2019-02-18
Canada,2019-FY,2019-W08,102050,2019,8,2019-02-25
Canada,2019-FY,2019-W09,106111,2019,9,2019-03-04
Canada,2019-FY,2019-W10,108391,2019,10,2019-03-11
Canada,2019-FY,2019-W11,112405,2019,11,2019-03-18
Canada,2019-FY,2019-W12,97158,2019,12,2019-03-25
Canada,2019-FY,2019-W13,92631,2019,13,2019-04-01
Canada,2019-FY,2019-W14,93121,2019,14,2019-04-08
Canada,2019-FY,2019-W15,94335,2019,15,2019-04-15
Canada,2019-FY,2019-W16,93575,2019,16,2019-04-22
Canada,2019-FY,2019-W17,93195,2019,17,2019-04-29
Canada,2019-FY,2019-W18,97914,2019,18,2019-05-06
Canada,2019-FY,2019-W19,101773,2019,19,2019-05-13
Canada,2019-FY,2019-W20,98403,2019,20,2019-05-20
Canada,2019-FY,2019-W21,99280,2019,21,2019-05-27
Canada,2019-FY,2019-W22,94104,2019,22,2019-06-03
Canada,2019-FY,2019-W23,105396,2019,23,2019-06-10
Canada,2019-FY,2019-W24,115415,2019,24,2019-06-17
Canada,2019-FY,2019-W25,111438,2019,25,2019-06-24
Canada,2019-FY,2019-W26,112054,2019,26,2019-07-01
Canada,2019-FY,2019-W27,109723,2019,27,2019-07-08
Canada,2019-FY,2019-W28,117793,2019,28,2019-07-15
Canada,2019-FY,2019-W29,122318,2019,29,2019-07-22
Canada,2019-FY,2019-W30,126723,2019,30,2019-07-29
Canada,2019-FY,2019-W31,117706,2019,31,2019-08-05
Canada,2019-FY,2019-W32,122842,2019,32,2019-08-12
Canada,2019-FY,2019-W33,116203,2019,33,2019-08-19
Canada,2019-FY,2019-W34,112139,2019,34,2019-08-26
Canada,2019-FY,2019-W35,107805,2019,35,2019-09-02
Canada,2019-FY,2019-W36,103187,2019,36,2019-09-09
Canada,2019-FY,2019-W37,104036,2019,37,2019-09-16
Canada,2019-FY,2019-W38,102997,2019,38,2019-09-23
Canada,2019-FY,2019-W39,111141,2019,39,2019-09-30
Canada,2019-FY,2019-W40,114574,2019,40,2019-10-07
Canada,2019-FY,2019-W41,143108,2019,41,2019-10-14
Canada,2019-FY,2019-W42,235973,2019,42,2019-10-21
Canada,2019-FY,2019-W43,195826,2019,43,2019-10-28
Canada,2019-FY,2019-W44,122601,2019,44,2019-11-04
Canada,2019-FY,2019-W45,112544,2019,45,2019-11-11
Canada,2019-FY,2019-W46,108111,2019,46,2019-11-18
Canada,2019-FY,2019-W47,140830,2019,47,2019-11-25
Canada,2019-FY,2019-W48,106452,2019,48,2019-12-02
Canada,2019-FY,2019-W49,114958,2019,49,2019-12-09
Canada,2019-FY,2019-W50,111418,2019,50,2019-12-16
Canada,2019-FY,2019-W51,111418,2019,51,2019-12-23
Canada,2019-FY,2019-W52,106306,2019,52,2019-12-30
Canada,2020-FY,2020-W01,112734,2020,1,2020-01-06
Canada,2020-FY,2020-W02,115809,2020,2,2020-01-13
Canada,2020-FY,2020-W03,111754,2020,3,2020-01-20
Canada,2020-FY,2020-W04,113344,2020,4,2020-01-27
Canada,2020-FY,2020-W05,114216,2020,5,2020-02-03
Canada,2020-FY,2020-W06,111660,2020,6,2020-02-10
Canada,2020-FY,2020-W07,120659,2020,7,2020-02-17
Canada,2020-FY,2020-W08,117185,2020,8,2020-02-24
Canada,2020-FY,2020-W09,106894,2020,9,2020-03-02
Canada,2020-FY,2020-W10,108016,2020,10,2020-03-09
Canada,2020-FY,2020-W11,104897,2020,11,2020-03-16
Canada,2020-FY,2020-W12,103587,2020,12,2020-03-23
Canada,2020-FY,2020-W13,99693,2020,13,2020-03-30
Canada,2020-FY,2020-W14,94981,2020,14,2020-04-06
Canada,2020-FY,2020-W15,97755,2020,15,2020-04-13
Canada,2020-FY,2020-W16,95204,2020,16,2020-04-20
Canada,2020-FY,2020-W17,103288,2020,17,2020-04-27
Canada,2020-FY,2020-W18,98967,2020,18,2020-05-04
Canada,2020-FY,2020-W19,96465,2020,19,2020-05-11
Canada,2020-FY,2020-W20,99401,2020,20,2020-05-18
Canada,2020-FY,2020-W21,96376,2020,21,2020-05-25
Canada,2020-FY,2020-W22,94158,2020,22,2020-06-01
Canada,2020-FY,2020-W23,107062,2020,23,2020-06-08
Canada,2020-FY,2020-W24,111830,2020,24,2020-06-15
Canada,2020-FY,2020-W25,100435,2020,25,2020-06-22
Canada,2020-FY,2020-W26,100514,2020,26,2020-06-29
Canada,2020-FY,2020-W27,103639,2020,27,2020-07-06
Canada,2020-FY,2020-W28,114296,2020,28,2020-07-13
Canada,2020-FY,2020-W29,126842,2020,29,2020-07-20
Canada,2020-FY,2020-W30,128509,2020,30,2020-07-27
Canada,2020-FY,2020-W31,125458,2020,31,2020-08-03
Canada,2020-FY,2020-W32,125124,2020,32,2020-08-10
Canada,2020-FY,2020-W33,113465,2020,33,2020-08-17
Canada,2020-FY,2020-W34,103576,2020,34,2020-08-24
Canada,2020-FY,2020-W35,104856,2020,35,2020-08-31
Canada,2020-FY,2020-W36,108327,2020,36,2020-09-07
Canada,2020-FY,2020-W37,99681,2020,37,2020-09-14
Canada,2020-FY,2020-W38,99885,2020,38,2020-09-21
Canada,2020-FY,2020-W39,99315,2020,39,2020-09-28
Canada,2020-FY,2020-W40,108228,2020,40,2020-10-05
Canada,2020-FY,2020-W41,118002,2020,41,2020-10-12
Canada,2020-FY,2020-W42,156255,2020,42,2020-10-19
Canada,2020-FY,2020-W43,246814,2020,43,2020-10-26
Canada,2020-FY,2020-W44,202098,2020,44,2020-11-02
Canada,2020-FY,2020-W45,122482,2020,45,2020-11-09
Canada,2020-FY,2020-W46,120563,2020,46,2020-11-16
Canada,2020-FY,2020-W47,147292,2020,47,2020-11-23
Canada,2020-FY,2020-W48,121354,2020,48,2020-11-30
Canada,2020-FY,2020-W49,120612,2020,49,2020-12-07
Canada,2020-FY,2020-W50,118194,2020,50,2020-12-14
Canada,2020-FY,2020-W51,114444,2020,51,2020-12-21
Canada,2020-FY,2020-W52,106627,2020,52,2020-12-28
Canada,2021-FY,2021-W01,115837,2021,1,2021-01-04
Canada,2021-FY,2021-W02,115585,2021,2,2021-01-11
Canada,2021-FY,2021-W03,100012,2021,3,2021-01-18
Canada,2021-FY,2021-W04,98845,2021,4,2021-01-25
Canada,2021-FY,2021-W05,105293,2021,5,2021-02-01
Canada,2021-FY,2021-W06,102402,2021,6,2021-02-08
Canada,2021-FY,2021-W07,118634,2021,7,2021-02-15
Canada,2021-FY,2021-W08,131474,2021,8,2021-02-22
Canada,2021-FY,2021-W09,149636,2021,9,2021-03-01
Canada,2021-FY,2021-W10,157062,2021,10,2021-03-08
Canada,2021-FY,2021-W11,133258,2021,11,2021-03-15
Canada,2021-FY,2021-W12,168178,2021,12,2021-03-22
Canada,2021-FY,2021-W13,164995,2021,13,2021-03-29
Canada,2021-FY,2021-W14,161258,2021,14,2021-04-05
Canada,2021-FY,2021-W15,182624,2021,15,2021-04-12
Canada,2021-FY,2021-W16,159795,2021,16,2021-04-19
Canada,2021-FY,2021-W17,152578,2021,17,2021-04-26
Canada,2021-FY,2021-W18,149102,2021,18,2021-05-03
Canada,2021-FY,2021-W19,156974,2021,19,2021-05-10
Canada,2021-FY,2021-W20,144008,2021,20,2021-05-17
Canada,2021-FY,2021-W21,134554,2021,21,2021-05-24
Canada,2021-FY,2021-W22,133009,2021,22,2021-05-31
Canada,2021-FY,2021-W23,137196,2021,23,2021-06-07
Canada,2021-FY,2021-W24,140978,2021,24,2021-06-14
Canada,2021-FY,2021-W25,135290,2021,25,2021-06-21
Canada,2021-FY,2021-W26,131635,2021,26,2021-06-28
Canada,2021-FY,2021-W27,134890,2021,27,2021-07-05
Canada,2021-FY,2021-W28,144574,2021,28,2021-07-12
Canada,2021-FY,2021-W29,151677,2021,29,2021-07-19
Canada,2021-FY,2021-W30,155713,2021,30,2021-07-26
Canada,2021-FY,2021-W31,160782,2021,31,2021-08-02
Canada,2021-FY,2021-W32,153971,2021,32,2021-08-09
Canada,2021-FY,2021-W33,160393,2021,33,2021-08-16
Canada,2021-FY,2021-W34,144378,2021,34,2021-08-23
Canada,2021-FY,2021-W35,133170,2021,35,2021-08-30
Canada,2021-FY,2021-W36,138500,2021,36,2021-09-06
Canada,2021-FY,2021-W37,152517,2021,37,2021-09-13
Canada,2021-FY,2021-W38,151179,2021,38,2021-09-20
Canada,2021-FY,2021-W39,155054,2021,39,2021-09-27
Canada,2021-FY,2021-W40,157777,2021,40,2021-10-04
Canada,2021-FY,2021-W41,178100,2021,41,2021-10-11
Canada,2021-FY,2021-W42,233908,2021,42,2021-10-18
Canada,2021-FY,2021-W43,337931,2021,43,2021-10-25
