Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
China,2019-FY,2019-W01,188760,2019,1,2019-01-07
China,2019-FY,2019-W02,96809,2019,2,2019-01-14
China,2019-FY,2019-W03,97263,2019,3,2019-01-21
China,2019-FY,2019-W04,156908,2019,4,2019-01-28
China,2019-FY,2019-W05,152859,2019,5,2019-02-04
China,2019-FY,2019-W06,152608,2019,6,2019-02-11
China,2019-FY,2019-W07,149360,2019,7,2019-02-18
China,2019-FY,2019-W08,142517,2019,8,2019-02-25
China,2019-FY,2019-W09,142036,2019,9,2019-03-04
China,2019-FY,2019-W10,150358,2019,10,2019-03-11
China,2019-FY,2019-W11,141219,2019,11,2019-03-18
China,2019-FY,2019-W12,138735,2019,12,2019-03-25
China,2019-FY,2019-W13,128103,2019,13,2019-04-01
China,2019-FY,2019-W14,148940,2019,14,2019-04-08
China,2019-FY,2019-W15,143395,2019,15,2019-04-15
China,2019-FY,2019-W16,137233,2019,16,2019-04-22
China,2019-FY,2019-W17,131168,2019,17,2019-04-29
China,2019-FY,2019-W18,129460,2019,18,2019-05-06
China,2019-FY,2019-W19,135655,2019,19,2019-05-13
China,2019-FY,2019-W20,121773,2019,20,2019-05-20
China,2019-FY,2019-W21,123466,2019,21,2019-05-27
China,2019-FY,2019-W22,130925,2019,22,2019-06-03
China,2019-FY,2019-W23,139839,2019,23,2019-06-10
China,2019-FY,2019-W24,143814,2019,24,2019-06-17
China,2019-FY,2019-W25,147431,2019,25,2019-06-24
China,2019-FY,2019-W26,147788,2019,26,2019-07-01
China,2019-FY,2019-W27,143142,2019,27,2019-07-08
China,2019-FY,2019-W28,138502,2019,28,2019-07-15
China,2019-FY,2019-W29,163125,2019,29,2019-07-22
China,2019-FY,2019-W30,164778,2019,30,2019-07-29
China,2019-FY,2019-W31,153354,2019,31,2019-08-05
China,2019-FY,2019-W32,151271,2019,32,2019-08-12
China,2019-FY,2019-W33,153951,2019,33,2019-08-19
China,2019-FY,2019-W34,147938,2019,34,2019-08-26
China,2019-FY,2019-W35,148198,2019,35,2019-09-02
China,2019-FY,2019-W36,165084,2019,36,2019-09-09
China,2019-FY,2019-W37,156777,2019,37,2019-09-16
China,2019-FY,2019-W38,148051,2019,38,2019-09-23
China,2019-FY,2019-W39,151774,2019,39,2019-09-30
China,2019-FY,2019-W40,156262,2019,40,2019-10-07
China,2019-FY,2019-W41,154190,2019,41,2019-10-14
China,2019-FY,2019-W42,140485,2019,42,2019-10-21
China,2019-FY,2019-W43,137039,2019,43,2019-10-28
China,2019-FY,2019-W44,134686,2019,44,2019-11-04
China,2019-FY,2019-W45,134299,2019,45,2019-11-11
China,2019-FY,2019-W46,131051,2019,46,2019-11-18
China,2019-FY,2019-W47,125802,2019,47,2019-11-25
China,2019-FY,2019-W48,112068,2019,48,2019-12-02
China,2019-FY,2019-W49,134614,2019,49,2019-12-09
China,2019-FY,2019-W50,133440,2019,50,2019-12-16
China,2019-FY,2019-W51,133440,2019,51,2019-12-23
China,2019-FY,2019-W52,112301,2019,52,2019-12-30
China,2020-FY,2020-W01,66030,2020,1,2020-01-06
China,2020-FY,2020-W02,127082,2020,2,2020-01-13
China,2020-FY,2020-W03,154743,2020,3,2020-01-20
China,2020-FY,2020-W04,159220,2020,4,2020-01-27
China,2020-FY,2020-W05,152859,2020,5,2020-02-03
China,2020-FY,2020-W06,142260,2020,6,2020-02-10
China,2020-FY,2020-W07,136511,2020,7,2020-02-17
China,2020-FY,2020-W08,127537,2020,8,2020-02-24
China,2020-FY,2020-W09,120183,2020,9,2020-03-02
China,2020-FY,2020-W10,129462,2020,10,2020-03-09
China,2020-FY,2020-W11,116004,2020,11,2020-03-16
China,2020-FY,2020-W12,90772,2020,12,2020-03-23
China,2020-FY,2020-W13,63272,2020,13,2020-03-30
China,2020-FY,2020-W14,78013,2020,14,2020-04-06
China,2020-FY,2020-W15,70806,2020,15,2020-04-13
China,2020-FY,2020-W16,70208,2020,16,2020-04-20
China,2020-FY,2020-W17,81657,2020,17,2020-04-27
China,2020-FY,2020-W18,71082,2020,18,2020-05-04
China,2020-FY,2020-W19,80027,2020,19,2020-05-11
China,2020-FY,2020-W20,85150,2020,20,2020-05-18
China,2020-FY,2020-W21,80226,2020,21,2020-05-25
China,2020-FY,2020-W22,80608,2020,22,2020-06-01
China,2020-FY,2020-W23,82544,2020,23,2020-06-08
China,2020-FY,2020-W24,80693,2020,24,2020-06-15
China,2020-FY,2020-W25,83728,2020,25,2020-06-22
China,2020-FY,2020-W26,79057,2020,26,2020-06-29
China,2020-FY,2020-W27,78615,2020,27,2020-07-06
China,2020-FY,2020-W28,78544,2020,28,2020-07-13
China,2020-FY,2020-W29,85386,2020,29,2020-07-20
China,2020-FY,2020-W30,90337,2020,30,2020-07-27
China,2020-FY,2020-W31,85427,2020,31,2020-08-03
China,2020-FY,2020-W32,75515,2020,32,2020-08-10
China,2020-FY,2020-W33,80949,2020,33,2020-08-17
China,2020-FY,2020-W34,79207,2020,34,2020-08-24
China,2020-FY,2020-W35,67573,2020,35,2020-08-31
China,2020-FY,2020-W36,80681,2020,36,2020-09-07
China,2020-FY,2020-W37,91576,2020,37,2020-09-14
China,2020-FY,2020-W38,87831,2020,38,2020-09-21
China,2020-FY,2020-W39,87769,2020,39,2020-09-28
China,2020-FY,2020-W40,84506,2020,40,2020-10-05
China,2020-FY,2020-W41,90618,2020,41,2020-10-12
China,2020-FY,2020-W42,109084,2020,42,2020-10-19
China,2020-FY,2020-W43,116864,2020,43,2020-10-26
China,2020-FY,2020-W44,111797,2020,44,2020-11-02
China,2020-FY,2020-W45,109821,2020,45,2020-11-09
China,2020-FY,2020-W46,106992,2020,46,2020-11-16
China,2020-FY,2020-W47,98236,2020,47,2020-11-23
China,2020-FY,2020-W48,85902,2020,48,2020-11-30
China,2020-FY,2020-W49,102729,2020,49,2020-12-07
China,2020-FY,2020-W50,102377,2020,50,2020-12-14
China,2020-FY,2020-W51,60470,2020,51,2020-12-21
China,2020-FY,2020-W52,49401,2020,52,2020-12-28
China,2021-FY,2021-W01,88090,2021,1,2021-01-04
China,2021-FY,2021-W02,99891,2021,2,2021-01-11
China,2021-FY,2021-W03,113324,2021,3,2021-01-18
China,2021-FY,2021-W04,128230,2021,4,2021-01-25
China,2021-FY,2021-W05,144141,2021,5,2021-02-01
China,2021-FY,2021-W06,138074,2021,6,2021-02-08
China,2021-FY,2021-W07,141437,2021,7,2021-02-15
China,2021-FY,2021-W08,123273,2021,8,2021-02-22
China,2021-FY,2021-W09,111397,2021,9,2021-03-01
China,2021-FY,2021-W10,98610,2021,10,2021-03-08
China,2021-FY,2021-W11,94497,2021,11,2021-03-15
China,2021-FY,2021-W12,104007,2021,12,2021-03-22
China,2021-FY,2021-W13,89598,2021,13,2021-03-29
China,2021-FY,2021-W14,88532,2021,14,2021-04-05
China,2021-FY,2021-W15,101307,2021,15,2021-04-12
China,2021-FY,2021-W16,95935,2021,16,2021-04-19
China,2021-FY,2021-W17,89026,2021,17,2021-04-26
China,2021-FY,2021-W18,94860,2021,18,2021-05-03
China,2021-FY,2021-W19,91073,2021,19,2021-05-10
China,2021-FY,2021-W20,91434,2021,20,2021-05-17
China,2021-FY,2021-W21,76951,2021,21,2021-05-24
China,2021-FY,2021-W22,87587,2021,22,2021-05-31
China,2021-FY,2021-W23,84070,2021,23,2021-06-07
China,2021-FY,2021-W24,76148,2021,24,2021-06-14
China,2021-FY,2021-W25,76347,2021,25,2021-06-21
China,2021-FY,2021-W26,76381,2021,26,2021-06-28
China,2021-FY,2021-W27,75036,2021,27,2021-07-05
China,2021-FY,2021-W28,82685,2021,28,2021-07-12
China,2021-FY,2021-W29,71985,2021,29,2021-07-19
China,2021-FY,2021-W30,77268,2021,30,2021-07-26
China,2021-FY,2021-W31,79998,2021,31,2021-08-02
China,2021-FY,2021-W32,80508,2021,32,2021-08-09
China,2021-FY,2021-W33,76231,2021,33,2021-08-16
China,2021-FY,2021-W34,74528,2021,34,2021-08-23
China,2021-FY,2021-W35,65446,2021,35,2021-08-30
China,2021-FY,2021-W36,57082,2021,36,2021-09-06
China,2021-FY,2021-W37,79006,2021,37,2021-09-13
China,2021-FY,2021-W38,78814,2021,38,2021-09-20
China,2021-FY,2021-W39,74940,2021,39,2021-09-27
China,2021-FY,2021-W40,77100,2021,40,2021-10-04
China,2021-FY,2021-W41,81447,2021,41,2021-10-11
China,2021-FY,2021-W42,76752,2021,42,2021-10-18
China,2021-FY,2021-W43,74786,2021,43,2021-10-25
China,2021-FY,2021-W44,75908,2021,44,2021-11-01
China,2021-FY,2021-W45,77159,2021,45,2021-11-08
China,2021-FY,2021-W46,74295,2021,46,2021-11-15
China,2021-FY,2021-W47,71748,2021,47,2021-11-22
China,2021-FY,2021-W48,66329,2021,48,2021-11-29
China,2021-FY,2021-W49,73097,2021,49,2021-12-06
China,2021-FY,2021-W50,76720,2021,50,2021-12-13
China,2021-FY,2021-W51,76868,2021,51,2021-12-20
China,2021-FY,2021-W52,78072,2021,52,2021-12-27
China,2022-FY,2022-W01,72585,2022,1,2022-01-03
China,2022-FY,2022-W02,49520,2022,2,2022-01-10
China,2022-FY,2022-W03,53976,2022,3,2022-01-17
China,2022-FY,2022-W04,91363,2022,4,2022-01-24
China,2022-FY,2022-W05,90279,2022,5,2022-01-31
China,2022-FY,2022-W06,94075,2022,6,2022-02-07
China,2022-FY,2022-W07,97522,2022,7,2022-02-14
China,2022-FY,2022-W08,93468,2022,8,2022-02-21
China,2022-FY,2022-W09,93736,2022,9,2022-02-28
China,2022-FY,2022-W10,91397,2022,10,2022-03-07
China,2022-FY,2022-W11,105142,2022,11,2022-03-14
China,2022-FY,2022-W12,104410,2022,12,2022-03-21
China,2022-FY,2022-W13,105794,2022,13,2022-03-28
China,2022-FY,2022-W14,85395,2022,14,2022-04-04
China,2022-FY,2022-W15,109703,2022,15,2022-04-11
China,2022-FY,2022-W16,103537,2022,16,2022-04-18
China,2022-FY,2022-W17,101802,2022,17,2022-04-25
China,2022-FY,2022-W18,107700,2022,18,2022-05-02
China,2022-FY,2022-W19,105165,2022,19,2022-05-09
China,2022-FY,2022-W20,108990,2022,20,2022-05-16
China,2022-FY,2022-W21,112674,2022,21,2022-05-23
China,2022-FY,2022-W22,107306,2022,22,2022-05-30
China,2022-FY,2022-W23,110769,2022,23,2022-06-06
China,2022-FY,2022-W24,111611,2022,24,2022-06-13
China,2022-FY,2022-W25,111482,2022,25,2022-06-20
China,2022-FY,2022-W26,117972,2022,26,2022-06-27
China,2022-FY,2022-W27,140661,2022,27,2022-07-04
China,2022-FY,2022-W28,145962,2022,28,2022-07-11
China,2022-FY,2022-W29,134141,2022,29,2022-07-18
China,2022-FY,2022-W30,138237,2022,30,2022-07-25
China,2022-FY,2022-W31,133678,2022,31,2022-08-01
China,2022-FY,2022-W32,138532,2022,32,2022-08-08
China,2022-FY,2022-W33,133299,2022,33,2022-08-15
China,2022-FY,2022-W34,133602,2022,34,2022-08-22
China,2022-FY,2022-W35,143427,2022,35,2022-08-29
China,2022-FY,2022-W36,129398,2022,36,2022-09-05
China,2022-FY,2022-W37,158608,2022,37,2022-09-12
China,2022-FY,2022-W38,187611,2022,38,2022-09-19
China,2022-FY,2022-W39,171406,2022,39,2022-09-26
China,2022-FY,2022-W40,142722,2022,40,2022-10-03
China,2022-FY,2022-W41,129680,2022,41,2022-10-10
China,2022-FY,2022-W42,131050,2022,42,2022-10-17
China,2022-FY,2022-W43,128723,2022,43,2022-10-24
China,2022-FY,2022-W44,123999,2022,44,2022-10-31
China,2022-FY,2022-W45,121747,2022,45,2022-11-07
China,2022-FY,2022-W46,113720,2022,46,2022-11-14
China,2022-FY,2022-W47,115916,2022,47,2022-11-21
China,2022-FY,2022-W48,106996,2022,48,2022-11-28
China,2022-FY,2022-W49,108208,2022,49,2022-12-05
China,2022-FY,2022-W50,122695,2022,50,2022-12-12
China,2022-FY,2022-W51,120536,2022,51,2022-12-19
China,2022-FY,2022-W52,109409,2022,52,2022-12-26
China,2023-FY,2023-W01,67227,2023,1,2023-01-02
China,2023-FY,2023-W02,127098,2023,2,2023-01-09
China,2023-FY,2023-W03,152789,2023,3,2023-01-16
China,2023-FY,2023-W04,155286,2023,4,2023-01-23
China,2023-FY,2023-W05,157354,2023,5,2023-01-30
China,2023-FY,2023-W06,153792,2023,6,2023-02-06
China,2023-FY,2023-W07,152338,2023,7,2023-02-13
China,2023-FY,2023-W08,148067,2023,8,2023-02-20
China,2023-FY,2023-W09,145114,2023,9,2023-02-27
China,2023-FY,2023-W10,126859,2023,10,2023-03-06
China,2023-FY,2023-W11,125677,2023,11,2023-03-13
China,2023-FY,2023-W12,122074,2023,12,2023-03-20
China,2023-FY,2023-W13,119363,2023,13,2023-03-27
China,2023-FY,2023-W14,97972,2023,14,2023-04-03
China,2023-FY,2023-W15,109009,2023,15,2023-04-10
China,2023-FY,2023-W16,106296,2023,16,2023-04-17
China,2023-FY,2023-W17,117277,2023,17,2023-04-24
China,2023-FY,2023-W18,111143,2023,18,2023-05-01
China,2023-FY,2023-W19,119810,2023,19,2023-05-08
China,2023-FY,2023-W20,121097,2023,20,2023-05-15
China,2023-FY,2023-W21,123535,2023,21,2023-05-22
China,2023-FY,2023-W22,115822,2023,22,2023-05-29
China,2023-FY,2023-W23,112096,2023,23,2023-06-05
China,2023-FY,2023-W24,106734,2023,24,2023-06-12
China,2023-FY,2023-W25,115663,2023,25,2023-06-19
China,2023-FY,2023-W26,113968,2023,26,2023-06-26
China,2023-FY,2023-W27,102338,2023,27,2023-07-03
China,2023-FY,2023-W28,98323,2023,28,2023-07-10
China,2023-FY,2023-W29,99396,2023,29,2023-07-17
China,2023-FY,2023-W30,102907,2023,30,2023-07-24
China,2023-FY,2023-W31,104715,2023,31,2023-07-31
China,2023-FY,2023-W32,100557,2023,32,2023-08-07
China,2023-FY,2023-W33,92010,2023,33,2023-08-14
China,2023-FY,2023-W34,91378,2023,34,2023-08-21
China,2023-FY,2023-W35,87702,2023,35,2023-08-28
China,2023-FY,2023-W36,63362,2023,36,2023-09-04
China,2023-FY,2023-W37,102207,2023,37,2023-09-11
China,2023-FY,2023-W38,83680,2023,38,2023-09-18
China,2023-FY,2023-W39,80397,2023,39,2023-09-25
China,2023-FY,2023-W40,79921,2023,40,2023-10-02
China,2023-FY,2023-W41,84410,2023,41,2023-10-09
China,2023-FY,2023-W42,86216,2023,42,2023-10-16
China,2023-FY,2023-W43,78388,2023,43,2023-10-23
China,2023-FY,2023-W44,80741,2023,44,2023-10-30
China,2023-FY,2023-W45,95890,2023,45,2023-11-06
China,2023-FY,2023-W46,111700,2023,46,2023-11-13
China,2023-FY,2023-W47,64448,2023,47,2023-11-20
China,2023-FY,2023-W48,56071,2023,48,2023-11-27
China,2023-FY,2023-W49,68151,2023,49,2023-12-04
China,2023-FY,2023-W50,70638,2023,50,2023-12-11
China,2023-FY,2023-W51,54894,2023,51,2023-12-18
China,2023-FY,2023-W52,44682,2023,52,2023-12-25
China,2023-FY,2023-W53,88126,2023,53,2024-01-01
China,2024-FY,2024-W01,92051,2024,1,2024-01-08
China,2024-FY,2024-W02,98006,2024,2,2024-01-15
China,2024-FY,2024-W03,95790,2024,3,2024-01-22
China,2024-FY,2024-W04,96849,2024,4,2024-01-29
China,2024-FY,2024-W05,97181,2024,5,2024-02-05
China,2024-FY,2024-W06,95302,2024,6,2024-02-12
China,2024-FY,2024-W07,100461,2024,7,2024-02-19
China,2024-FY,2024-W08,117587,2024,8,2024-02-26
China,2024-FY,2024-W09,113775,2024,9,2024-03-04
China,2024-FY,2024-W10,116878,2024,10,2024-03-11
China,2024-FY,2024-W11,123611,2024,11,2024-03-18
China,2024-FY,2024-W12,123728,2024,12,2024-03-25
China,2024-FY,2024-W13,94158,2024,13,2024-04-01
China,2024-FY,2024-W14,111854,2024,14,2024-04-08
China,2024-FY,2024-W15,97586,2024,15,2024-04-15
China,2024-FY,2024-W16,94726,2024,16,2024-04-22
China,2024-FY,2024-W17,100112,2024,17,2024-04-29
China,2024-FY,2024-W18,99576,2024,18,2024-05-06
China,2024-FY,2024-W19,96977,2024,19,2024-05-13
China,2024-FY,2024-W20,86206,2024,20,2024-05-20
China,2024-FY,2024-W21,103115,2024,21,2024-05-27
China,2024-FY,2024-W22,106103,2024,22,2024-06-03
China,2024-FY,2024-W23,112652,2024,23,2024-06-10
China,2024-FY,2024-W24,113943,2024,24,2024-06-17
China,2024-FY,2024-W25,109145,2024,25,2024-06-24
China,2024-FY,2024-W26,111370,2024,26,2024-07-01
China,2024-FY,2024-W27,106906,2024,27,2024-07-08
