Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
India,2019-FY,2019-W01,90172,2019,1,2019-01-07
India,2019-FY,2019-W02,86875,2019,2,2019-01-14
India,2019-FY,2019-W03,87882,2019,3,2019-01-21
India,2019-FY,2019-W04,87198,2019,4,2019-01-28
India,2019-FY,2019-W05,147345,2019,5,2019-02-04
India,2019-FY,2019-W06,98848,2019,6,2019-02-11
India,2019-FY,2019-W07,92721,2019,7,2019-02-18
India,2019-FY,2019-W08,89878,2019,8,2019-02-25
India,2019-FY,2019-W09,91030,2019,9,2019-03-04
India,2019-FY,2019-W10,86981,2019,10,2019-03-11
India,2019-FY,2019-W11,86008,2019,11,2019-03-18
India,2019-FY,2019-W12,85104,2019,12,2019-03-25
India,2019-FY,2019-W13,78914,2019,13,2019-04-01
India,2019-FY,2019-W14,83278,2019,14,2019-04-08
India,2019-FY,2019-W15,85552,2019,15,2019-04-15
India,2019-FY,2019-W16,86425,2019,16,2019-04-22
India,2019-FY,2019-W17,89575,2019,17,2019-04-29
India,2019-FY,2019-W18,91110,2019,18,2019-05-06
India,2019-FY,2019-W19,93374,2019,19,2019-05-13
India,2019-FY,2019-W20,101271,2019,20,2019-05-20
India,2019-FY,2019-W21,114441,2019,21,2019-05-27
India,2019-FY,2019-W22,118740,2019,22,2019-06-03
India,2019-FY,2019-W23,146610,2019,23,2019-06-10
India,2019-FY,2019-W24,155283,2019,24,2019-06-17
India,2019-FY,2019-W25,147976,2019,25,2019-06-24
India,2019-FY,2019-W26,151112,2019,26,2019-07-01
India,2019-FY,2019-W27,183576,2019,27,2019-07-08
India,2019-FY,2019-W28,172882,2019,28,2019-07-15
India,2019-FY,2019-W29,173471,2019,29,2019-07-22
India,2019-FY,2019-W30,178455,2019,30,2019-07-29
India,2019-FY,2019-W31,179685,2019,31,2019-08-05
India,2019-FY,2019-W32,169089,2019,32,2019-08-12
India,2019-FY,2019-W33,175309,2019,33,2019-08-19
India,2019-FY,2019-W34,173033,2019,34,2019-08-26
India,2019-FY,2019-W35,177160,2019,35,2019-09-02
India,2019-FY,2019-W36,207903,2019,36,2019-09-09
India,2019-FY,2019-W37,191597,2019,37,2019-09-16
India,2019-FY,2019-W38,177562,2019,38,2019-09-23
India,2019-FY,2019-W39,176530,2019,39,2019-09-30
India,2019-FY,2019-W40,166518,2019,40,2019-10-07
India,2019-FY,2019-W41,178328,2019,41,2019-10-14
India,2019-FY,2019-W42,171946,2019,42,2019-10-21
India,2019-FY,2019-W43,156730,2019,43,2019-10-28
India,2019-FY,2019-W44,148047,2019,44,2019-11-04
India,2019-FY,2019-W45,146084,2019,45,2019-11-11
India,2019-FY,2019-W46,154767,2019,46,2019-11-18
India,2019-FY,2019-W47,168702,2019,47,2019-11-25
India,2019-FY,2019-W48,153959,2019,48,2019-12-02
India,2019-FY,2019-W49,162911,2019,49,2019-12-09
India,2019-FY,2019-W50,149930,2019,50,2019-12-16
India,2019-FY,2019-W51,149930,2019,51,2019-12-23
India,2019-FY,2019-W52,156846,2019,52,2019-12-30
India,2020-FY,2020-W01,155025,2020,1,2020-01-06
India,2020-FY,2020-W02,148596,2020,2,2020-01-13
India,2020-FY,2020-W03,148111,2020,3,2020-01-20
India,2020-FY,2020-W04,141416,2020,4,2020-01-27
India,2020-FY,2020-W05,147345,2020,5,2020-02-03
India,2020-FY,2020-W06,155610,2020,6,2020-02-10
India,2020-FY,2020-W07,160282,2020,7,2020-02-17
