Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
Japan,2019-FY,2019-W01,196206,2019,1,2019-01-07
Japan,2019-FY,2019-W02,195157,2019,2,2019-01-14
Japan,2019-FY,2019-W03,205190,2019,3,2019-01-21
Japan,2019-FY,2019-W04,213035,2019,4,2019-01-28
Japan,2019-FY,2019-W05,231737,2019,5,2019-02-04
Japan,2019-FY,2019-W06,221393,2019,6,2019-02-11
Japan,2019-FY,2019-W07,204481,2019,7,2019-02-18
Japan,2019-FY,2019-W08,215964,2019,8,2019-02-25
Japan,2019-FY,2019-W09,206295,2019,9,2019-03-04
Japan,2019-FY,2019-W10,197196,2019,10,2019-03-11
Japan,2019-FY,2019-W11,203146,2019,11,2019-03-18
Japan,2019-FY,2019-W12,182558,2019,12,2019-03-25
Japan,2019-FY,2019-W13,147015,2019,13,2019-04-01
Japan,2019-FY,2019-W14,176120,2019,14,2019-04-08
Japan,2019-FY,2019-W15,190550,2019,15,2019-04-15
Japan,2019-FY,2019-W16,180921,2019,16,2019-04-22
Japan,2019-FY,2019-W17,181535,2019,17,2019-04-29
Japan,2019-FY,2019-W18,184801,2019,18,2019-05-06
Japan,2019-FY,2019-W19,194589,2019,19,2019-05-13
Japan,2019-FY,2019-W20,185944,2019,20,2019-05-20
Japan,2019-FY,2019-W21,184337,2019,21,2019-05-27
Japan,2019-FY,2019-W22,173355,2019,22,2019-06-03
Japan,2019-FY,2019-W23,185328,2019,23,2019-06-10
Japan,2019-FY,2019-W24,173606,2019,24,2019-06-17
Japan,2019-FY,2019-W25,154467,2019,25,2019-06-24
Japan,2019-FY,2019-W26,155641,2019,26,2019-07-01
Japan,2019-FY,2019-W27,149832,2019,27,2019-07-08
Japan,2019-FY,2019-W28,137734,2019,28,2019-07-15
Japan,2019-FY,2019-W29,169133,2019,29,2019-07-22
Japan,2019-FY,2019-W30,169729,2019,30,2019-07-29
Japan,2019-FY,2019-W31,166167,2019,31,2019-08-05
Japan,2019-FY,2019-W32,185620,2019,32,2019-08-12
Japan,2019-FY,2019-W33,171052,2019,33,2019-08-19
Japan,2019-FY,2019-W34,161323,2019,34,2019-08-26
Japan,2019-FY,2019-W35,169978,2019,35,2019-09-02
Japan,2019-FY,2019-W36,168524,2019,36,2019-09-09
Japan,2019-FY,2019-W37,178269,2019,37,2019-09-16
Japan,2019-FY,2019-W38,170126,2019,38,2019-09-23
Japan,2019-FY,2019-W39,181078,2019,39,2019-09-30
Japan,2019-FY,2019-W40,184831,2019,40,2019-10-07
Japan,2019-FY,2019-W41,185448,2019,41,2019-10-14
Japan,2019-FY,2019-W42,189725,2019,42,2019-10-21
Japan,2019-FY,2019-W43,194363,2019,43,2019-10-28
Japan,2019-FY,2019-W44,206877,2019,44,2019-11-04
Japan,2019-FY,2019-W45,216652,2019,45,2019-11-11
Japan,2019-FY,2019-W46,206472,2019,46,2019-11-18
Japan,2019-FY,2019-W47,185951,2019,47,2019-11-25
Japan,2019-FY,2019-W48,153269,2019,48,2019-12-02
Japan,2019-FY,2019-W49,229240,2019,49,2019-12-09
Japan,2019-FY,2019-W50,206079,2019,50,2019-12-16
Japan,2019-FY,2019-W51,206079,2019,51,2019-12-23
Japan,2019-FY,2019-W52,205883,2019,52,2019-12-30
Japan,2020-FY,2020-W01,216998,2020,1,2020-01-06
Japan,2020-FY,2020-W02,206930,2020,2,2020-01-13
Japan,2020-FY,2020-W03,224319,2020,3,2020-01-20
Japan,2020-FY,2020-W04,216859,2020,4,2020-01-27
Japan,2020-FY,2020-W05,231737,2020,5,2020-02-03
Japan,2020-FY,2020-W06,241281,2020,6,2020-02-10
Japan,2020-FY,2020-W07,236192,2020,7,2020-02-17
Japan,2020-FY,2020-W08,235938,2020,8,2020-02-24
Japan,2020-FY,2020-W09,237922,2020,9,2020-03-02
Japan,2020-FY,2020-W10,233895,2020,10,2020-03-09
Japan,2020-FY,2020-W11,222846,2020,11,2020-03-16
Japan,2020-FY,2020-W12,186356,2020,12,2020-03-23
Japan,2020-FY,2020-W13,117042,2020,13,2020-03-30
Japan,2020-FY,2020-W14,146092,2020,14,2020-04-06
Japan,2020-FY,2020-W15,154692,2020,15,2020-04-13
Japan,2020-FY,2020-W16,157473,2020,16,2020-04-20
Japan,2020-FY,2020-W17,156805,2020,17,2020-04-27
Japan,2020-FY,2020-W18,159429,2020,18,2020-05-04
Japan,2020-FY,2020-W19,171551,2020,19,2020-05-11
Japan,2020-FY,2020-W20,178447,2020,20,2020-05-18
Japan,2020-FY,2020-W21,175788,2020,21,2020-05-25
Japan,2020-FY,2020-W22,175604,2020,22,2020-06-01
Japan,2020-FY,2020-W23,176384,2020,23,2020-06-08
