Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
Malaysia,2019-FY,2019-W01,27027,2019,1,2019-01-07
Malaysia,2019-FY,2019-W02,21976,2019,2,2019-01-14
Malaysia,2019-FY,2019-W03,25637,2019,3,2019-01-21
Malaysia,2019-FY,2019-W04,28625,2019,4,2019-01-28
Malaysia,2019-FY,2019-W05,32318,2019,5,2019-02-04
Malaysia,2019-FY,2019-W06,31127,2019,6,2019-02-11
Malaysia,2019-FY,2019-W07,30811,2019,7,2019-02-18
Malaysia,2019-FY,2019-W08,30189,2019,8,2019-02-25
Malaysia,2019-FY,2019-W09,31920,2019,9,2019-03-04
Malaysia,2019-FY,2019-W10,29669,2019,10,2019-03-11
Malaysia,2019-FY,2019-W11,30574,2019,11,2019-03-18
Malaysia,2019-FY,2019-W12,29369,2019,12,2019-03-25
Malaysia,2019-FY,2019-W13,27200,2019,13,2019-04-01
Malaysia,2019-FY,2019-W14,23641,2019,14,2019-04-08
Malaysia,2019-FY,2019-W15,27852,2019,15,2019-04-15
Malaysia,2019-FY,2019-W16,28554,2019,16,2019-04-22
Malaysia,2019-FY,2019-W17,30457,2019,17,2019-04-29
Malaysia,2019-FY,2019-W18,34994,2019,18,2019-05-06
Malaysia,2019-FY,2019-W19,28855,2019,19,2019-05-13
Malaysia,2019-FY,2019-W20,30775,2019,20,2019-05-20
Malaysia,2019-FY,2019-W21,32813,2019,21,2019-05-27
Malaysia,2019-FY,2019-W22,32242,2019,22,2019-06-03
Malaysia,2019-FY,2019-W23,31432,2019,23,2019-06-10
Malaysia,2019-FY,2019-W24,31651,2019,24,2019-06-17
Malaysia,2019-FY,2019-W25,31598,2019,25,2019-06-24
Malaysia,2019-FY,2019-W26,30642,2019,26,2019-07-01
Malaysia,2019-FY,2019-W27,31387,2019,27,2019-07-08
Malaysia,2019-FY,2019-W28,31512,2019,28,2019-07-15
Malaysia,2019-FY,2019-W29,30845,2019,29,2019-07-22
Malaysia,2019-FY,2019-W30,32229,2019,30,2019-07-29
Malaysia,2019-FY,2019-W31,25989,2019,31,2019-08-05
Malaysia,2019-FY,2019-W32,23478,2019,32,2019-08-12
Malaysia,2019-FY,2019-W33,24848,2019,33,2019-08-19
Malaysia,2019-FY,2019-W34,25453,2019,34,2019-08-26
Malaysia,2019-FY,2019-W35,26825,2019,35,2019-09-02
Malaysia,2019-FY,2019-W36,32842,2019,36,2019-09-09
