Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
Netherlands,2019-FY,2019-W01,23942,2019,1,2019-01-07
Netherlands,2019-FY,2019-W02,22582,2019,2,2019-01-14
Netherlands,2019-FY,2019-W03,23370,2019,3,2019-01-21
Netherlands,2019-FY,2019-W04,21868,2019,4,2019-01-28
Netherlands,2019-FY,2019-W05,21775,2019,5,2019-02-04
Netherlands,2019-FY,2019-W06,22548,2019,6,2019-02-11
Netherlands,2019-FY,2019-W07,22633,2019,7,2019-02-18
Netherlands,2019-FY,2019-W08,21994,2019,8,2019-02-25
Netherlands,2019-FY,2019-W09,23395,2019,9,2019-03-04
Netherlands,2019-FY,2019-W10,20962,2019,10,2019-03-11
Netherlands,2019-FY,2019-W11,19074,2019,11,2019-03-18
Netherlands,2019-FY,2019-W12,18795,2019,12,2019-03-25
Netherlands,2019-FY,2019-W13,20014,2019,13,2019-04-01
Netherlands,2019-FY,2019-W14,17099,2019,14,2019-04-08
Netherlands,2019-FY,2019-W15,21153,2019,15,2019-04-15
Netherlands,2019-FY,2019-W16,20629,2019,16,2019-04-22
Netherlands,2019-FY,2019-W17,21831,2019,17,2019-04-29
Netherlands,2019-FY,2019-W18,23344,2019,18,2019-05-06
Netherlands,2019-FY,2019-W19,24867,2019,19,2019-05-13
Netherlands,2019-FY,2019-W20,25600,2019,20,2019-05-20
Netherlands,2019-FY,2019-W21,25059,2019,21,2019-05-27
Netherlands,2019-FY,2019-W22,23912,2019,22,2019-06-03
Netherlands,2019-FY,2019-W23,25593,2019,23,2019-06-10
Netherlands,2019-FY,2019-W24,24383,2019,24,2019-06-17
Netherlands,2019-FY,2019-W25,21177,2019,25,2019-06-24
Netherlands,2019-FY,2019-W26,20938,2019,26,2019-07-01
Netherlands,2019-FY,2019-W27,20698,2019,27,2019-07-08
Netherlands,2019-FY,2019-W28,24192,2019,28,2019-07-15
Netherlands,2019-FY,2019-W29,25898,2019,29,2019-07-22
Netherlands,2019-FY,2019-W30,29071,2019,30,2019-07-29
Netherlands,2019-FY,2019-W31,27635,2019,31,2019-08-05
Netherlands,2019-FY,2019-W32,26703,2019,32,2019-08-12
Netherlands,2019-FY,2019-W33,24314,2019,33,2019-08-19
Netherlands,2019-FY,2019-W34,24288,2019,34,2019-08-26
Netherlands,2019-FY,2019-W35,23054,2019,35,2019-09-02
Netherlands,2019-FY,2019-W36,22479,2019,36,2019-09-09
Netherlands,2019-FY,2019-W37,22360,2019,37,2019-09-16
Netherlands,2019-FY,2019-W38,22367,2019,38,2019-09-23
Netherlands,2019-FY,2019-W39,24047,2019,39,2019-09-30
Netherlands,2019-FY,2019-W40,24118,2019,40,2019-10-07
Netherlands,2019-FY,2019-W41,24698,2019,41,2019-10-14
Netherlands,2019-FY,2019-W42,32994,2019,42,2019-10-21
Netherlands,2019-FY,2019-W43,27281,2019,43,2019-10-28
Netherlands,2019-FY,2019-W44,24593,2019,44,2019-11-04
Netherlands,2019-FY,2019-W45,23924,2019,45,2019-11-11
Netherlands,2019-FY,2019-W46,22659,2019,46,2019-11-18
Netherlands,2019-FY,2019-W47,17471,2019,47,2019-11-25
Netherlands,2019-FY,2019-W48,18982,2019,48,2019-12-02
Netherlands,2019-FY,2019-W49,24706,2019,49,2019-12-09
Netherlands,2019-FY,2019-W50,25039,2019,50,2019-12-16
Netherlands,2019-FY,2019-W51,25039,2019,51,2019-12-23
