Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
New Zealand,2019-FY,2019-W01,7637,2019,1,2019-01-07
New Zealand,2019-FY,2019-W02,7622,2019,2,2019-01-14
New Zealand,2019-FY,2019-W03,8064,2019,3,2019-01-21
New Zealand,2019-FY,2019-W04,8079,2019,4,2019-01-28
New Zealand,2019-FY,2019-W05,9178,2019,5,2019-02-04
New Zealand,2019-FY,2019-W06,7750,2019,6,2019-02-11
New Zealand,2019-FY,2019-W07,7598,2019,7,2019-02-18
New Zealand,2019-FY,2019-W08,7598,2019,8,2019-02-25
New Zealand,2019-FY,2019-W09,7075,2019,9,2019-03-04
New Zealand,2019-FY,2019-W10,7961,2019,10,2019-03-11
New Zealand,2019-FY,2019-W11,10508,2019,11,2019-03-18
New Zealand,2019-FY,2019-W12,10505,2019,12,2019-03-25
New Zealand,2019-FY,2019-W13,10622,2019,13,2019-04-01
New Zealand,2019-FY,2019-W14,10413,2019,14,2019-04-08
New Zealand,2019-FY,2019-W15,11158,2019,15,2019-04-15
New Zealand,2019-FY,2019-W16,11314,2019,16,2019-04-22
New Zealand,2019-FY,2019-W17,10749,2019,17,2019-04-29
New Zealand,2019-FY,2019-W18,10618,2019,18,2019-05-06
New Zealand,2019-FY,2019-W19,10957,2019,19,2019-05-13
New Zealand,2019-FY,2019-W20,11509,2019,20,2019-05-20
New Zealand,2019-FY,2019-W21,11677,2019,21,2019-05-27
New Zealand,2019-FY,2019-W22,11108,2019,22,2019-06-03
New Zealand,2019-FY,2019-W23,11451,2019,23,2019-06-10
New Zealand,2019-FY,2019-W24,11461,2019,24,2019-06-17
New Zealand,2019-FY,2019-W25,11027,2019,25,2019-06-24
New Zealand,2019-FY,2019-W26,11406,2019,26,2019-07-01
New Zealand,2019-FY,2019-W27,11410,2019,27,2019-07-08
New Zealand,2019-FY,2019-W28,11060,2019,28,2019-07-15
New Zealand,2019-FY,2019-W29,10791,2019,29,2019-07-22
New Zealand,2019-FY,2019-W30,10385,2019,30,2019-07-29
New Zealand,2019-FY,2019-W31,10294,2019,31,2019-08-05
