Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
Singapore,2019-FY,2019-W01,22869,2019,1,2019-01-07
Singapore,2019-FY,2019-W02,18279,2019,2,2019-01-14
Singapore,2019-FY,2019-W03,21470,2019,3,2019-01-21
Singapore,2019-FY,2019-W04,21959,2019,4,2019-01-28
Singapore,2019-FY,2019-W05,29521,2019,5,2019-02-04
Singapore,2019-FY,2019-W06,28875,2019,6,2019-02-11
Singapore,2019-FY,2019-W07,27511,2019,7,2019-02-18
Singapore,2019-FY,2019-W08,22165,2019,8,2019-02-25
Singapore,2019-FY,2019-W09,23567,2019,9,2019-03-04
Singapore,2019-FY,2019-W10,22779,2019,10,2019-03-11
Singapore,2019-FY,2019-W11,22983,2019,11,2019-03-18
Singapore,2019-FY,2019-W12,22662,2019,12,2019-03-25
Singapore,2019-FY,2019-W13,20659,2019,13,2019-04-01
Singapore,2019-FY,2019-W14,22469,2019,14,2019-04-08
Singapore,2019-FY,2019-W15,22770,2019,15,2019-04-15
Singapore,2019-FY,2019-W16,23962,2019,16,2019-04-22
Singapore,2019-FY,2019-W17,23952,2019,17,2019-04-29
Singapore,2019-FY,2019-W18,23736,2019,18,2019-05-06
Singapore,2019-FY,2019-W19,20215,2019,19,2019-05-13
Singapore,2019-FY,2019-W20,20315,2019,20,2019-05-20
Singapore,2019-FY,2019-W21,20736,2019,21,2019-05-27
Singapore,2019-FY,2019-W22,22124,2019,22,2019-06-03
Singapore,2019-FY,2019-W23,22620,2019,23,2019-06-10
Singapore,2019-FY,2019-W24,24057,2019,24,2019-06-17
Singapore,2019-FY,2019-W25,23078,2019,25,2019-06-24
Singapore,2019-FY,2019-W26,22078,2019,26,2019-07-01
Singapore,2019-FY,2019-W27,21992,2019,27,2019-07-08
Singapore,2019-FY,2019-W28,22117,2019,28,2019-07-15
Singapore,2019-FY,2019-W29,20730,2019,29,2019-07-22
Singapore,2019-FY,2019-W30,20104,2019,30,2019-07-29
Singapore,2019-FY,2019-W31,22247,2019,31,2019-08-05
Singapore,2019-FY,2019-W32,21363,2019,32,2019-08-12
Singapore,2019-FY,2019-W33,18701,2019,33,2019-08-19
Singapore,2019-FY,2019-W34,18089,2019,34,2019-08-26
Singapore,2019-FY,2019-W35,19400,2019,35,2019-09-02
Singapore,2019-FY,2019-W36,23448,2019,36,2019-09-09
Singapore,2019-FY,2019-W37,24688,2019,37,2019-09-16
Singapore,2019-FY,2019-W38,24664,2019,38,2019-09-23
Singapore,2019-FY,2019-W39,26570,2019,39,2019-09-30
Singapore,2019-FY,2019-W40,26749,2019,40,2019-10-07
Singapore,2019-FY,2019-W41,27247,2019,41,2019-10-14
Singapore,2019-FY,2019-W42,29511,2019,42,2019-10-21
Singapore,2019-FY,2019-W43,28119,2019,43,2019-10-28
Singapore,2019-FY,2019-W44,22365,2019,44,2019-11-04
Singapore,2019-FY,2019-W45,23677,2019,45,2019-11-11
Singapore,2019-FY,2019-W46,22503,2019,46,2019-11-18
Singapore,2019-FY,2019-W47,19721,2019,47,2019-11-25
Singapore,2019-FY,2019-W48,19319,2019,48,2019-12-02
Singapore,2019-FY,2019-W49,24466,2019,49,2019-12-09
Singapore,2019-FY,2019-W50,24759,2019,50,2019-12-16
Singapore,2019-FY,2019-W51,24759,2019,51,2019-12-23
Singapore,2019-FY,2019-W52,23144,2019,52,2019-12-30
Singapore,2020-FY,2020-W01,19192,2020,1,2020-01-06
Singapore,2020-FY,2020-W02,23469,2020,2,2020-01-13
Singapore,2020-FY,2020-W03,23494,2020,3,2020-01-20
Singapore,2020-FY,2020-W04,24151,2020,4,2020-01-27
Singapore,2020-FY,2020-W05,29521,2020,5,2020-02-03
Singapore,2020-FY,2020-W06,28908,2020,6,2020-02-10
Singapore,2020-FY,2020-W07,25817,2020,7,2020-02-17
Singapore,2020-FY,2020-W08,25800,2020,8,2020-02-24
Singapore,2020-FY,2020-W09,24736,2020,9,2020-03-02
Singapore,2020-FY,2020-W10,24942,2020,10,2020-03-09
Singapore,2020-FY,2020-W11,23043,2020,11,2020-03-16
Singapore,2020-FY,2020-W12,23020,2020,12,2020-03-23
Singapore,2020-FY,2020-W13,22258,2020,13,2020-03-30
Singapore,2020-FY,2020-W14,22938,2020,14,2020-04-06
Singapore,2020-FY,2020-W15,23666,2020,15,2020-04-13
Singapore,2020-FY,2020-W16,24724,2020,16,2020-04-20
Singapore,2020-FY,2020-W17,27948,2020,17,2020-04-27
Singapore,2020-FY,2020-W18,24972,2020,18,2020-05-04
Singapore,2020-FY,2020-W19,27203,2020,19,2020-05-11
Singapore,2020-FY,2020-W20,27740,2020,20,2020-05-18
Singapore,2020-FY,2020-W21,28021,2020,21,2020-05-25
Singapore,2020-FY,2020-W22,27973,2020,22,2020-06-01
Singapore,2020-FY,2020-W23,28758,2020,23,2020-06-08
Singapore,2020-FY,2020-W24,28111,2020,24,2020-06-15
Singapore,2020-FY,2020-W25,29531,2020,25,2020-06-22
Singapore,2020-FY,2020-W26,29779,2020,26,2020-06-29
Singapore,2020-FY,2020-W27,28962,2020,27,2020-07-06
Singapore,2020-FY,2020-W28,27787,2020,28,2020-07-13
Singapore,2020-FY,2020-W29,30278,2020,29,2020-07-20
Singapore,2020-FY,2020-W30,30110,2020,30,2020-07-27
Singapore,2020-FY,2020-W31,34232,2020,31,2020-08-03
Singapore,2020-FY,2020-W32,34521,2020,32,2020-08-10
Singapore,2020-FY,2020-W33,30753,2020,33,2020-08-17
Singapore,2020-FY,2020-W34,30818,2020,34,2020-08-24
Singapore,2020-FY,2020-W35,32323,2020,35,2020-08-31
Singapore,2020-FY,2020-W36,33709,2020,36,2020-09-07
Singapore,2020-FY,2020-W37,32124,2020,37,2020-09-14
Singapore,2020-FY,2020-W38,31707,2020,38,2020-09-21
Singapore,2020-FY,2020-W39,28581,2020,39,2020-09-28
Singapore,2020-FY,2020-W40,29771,2020,40,2020-10-05
Singapore,2020-FY,2020-W41,31449,2020,41,2020-10-12
Singapore,2020-FY,2020-W42,29075,2020,42,2020-10-19
Singapore,2020-FY,2020-W43,31904,2020,43,2020-10-26
Singapore,2020-FY,2020-W44,27842,2020,44,2020-11-02
Singapore,2020-FY,2020-W45,25301,2020,45,2020-11-09
Singapore,2020-FY,2020-W46,23885,2020,46,2020-11-16
Singapore,2020-FY,2020-W47,20155,2020,47,2020-11-23
Singapore,2020-FY,2020-W48,21174,2020,48,2020-11-30
Singapore,2020-FY,2020-W49,25837,2020,49,2020-12-07
Singapore,2020-FY,2020-W50,25023,2020,50,2020-12-14
Singapore,2020-FY,2020-W51,21765,2020,51,2020-12-21
Singapore,2020-FY,2020-W52,21030,2020,52,2020-12-28
Singapore,2021-FY,2021-W01,26572,2021,1,2021-01-04
Singapore,2021-FY,2021-W02,30585,2021,2,2021-01-11
Singapore,2021-FY,2021-W03,30446,2021,3,2021-01-18
Singapore,2021-FY,2021-W04,27849,2021,4,2021-01-25
Singapore,2021-FY,2021-W05,29762,2021,5,2021-02-01
Singapore,2021-FY,2021-W06,31332,2021,6,2021-02-08
Singapore,2021-FY,2021-W07,33355,2021,7,2021-02-15
Singapore,2021-FY,2021-W08,37435,2021,8,2021-02-22
Singapore,2021-FY,2021-W09,46448,2021,9,2021-03-01
Singapore,2021-FY,2021-W10,46291,2021,10,2021-03-08
Singapore,2021-FY,2021-W11,32109,2021,11,2021-03-15
Singapore,2021-FY,2021-W12,37915,2021,12,2021-03-22
Singapore,2021-FY,2021-W13,34754,2021,13,2021-03-29
Singapore,2021-FY,2021-W14,35493,2021,14,2021-04-05
Singapore,2021-FY,2021-W15,38522,2021,15,2021-04-12
Singapore,2021-FY,2021-W16,38600,2021,16,2021-04-19
Singapore,2021-FY,2021-W17,39465,2021,17,2021-04-26
Singapore,2021-FY,2021-W18,39661,2021,18,2021-05-03
Singapore,2021-FY,2021-W19,43397,2021,19,2021-05-10
Singapore,2021-FY,2021-W20,41691,2021,20,2021-05-17
Singapore,2021-FY,2021-W21,40920,2021,21,2021-05-24
Singapore,2021-FY,2021-W22,36662,2021,22,2021-05-31
Singapore,2021-FY,2021-W23,34991,2021,23,2021-06-07
Singapore,2021-FY,2021-W24,35339,2021,24,2021-06-14
Singapore,2021-FY,2021-W25,38901,2021,25,2021-06-21
Singapore,2021-FY,2021-W26,38806,2021,26,2021-06-28
Singapore,2021-FY,2021-W27,41279,2021,27,2021-07-05
Singapore,2021-FY,2021-W28,38607,2021,28,2021-07-12
Singapore,2021-FY,2021-W29,34479,2021,29,2021-07-19
Singapore,2021-FY,2021-W30,34445,2021,30,2021-07-26
Singapore,2021-FY,2021-W31,34054,2021,31,2021-08-02
Singapore,2021-FY,2021-W32,35894,2021,32,2021-08-09
Singapore,2021-FY,2021-W33,31760,2021,33,2021-08-16
Singapore,2021-FY,2021-W34,29908,2021,34,2021-08-23
Singapore,2021-FY,2021-W35,28520,2021,35,2021-08-30
Singapore,2021-FY,2021-W36,31228,2021,36,2021-09-06
Singapore,2021-FY,2021-W37,32255,2021,37,2021-09-13
Singapore,2021-FY,2021-W38,30075,2021,38,2021-09-20
Singapore,2021-FY,2021-W39,29597,2021,39,2021-09-27
Singapore,2021-FY,2021-W40,30106,2021,40,2021-10-04
Singapore,2021-FY,2021-W41,36256,2021,41,2021-10-11
Singapore,2021-FY,2021-W42,33769,2021,42,2021-10-18
Singapore,2021-FY,2021-W43,38129,2021,43,2021-10-25
Singapore,2021-FY,2021-W44,34417,2021,44,2021-11-01
Singapore,2021-FY,2021-W45,31248,2021,45,2021-11-08
Singapore,2021-FY,2021-W46,29946,2021,46,2021-11-15
Singapore,2021-FY,2021-W47,24833,2021,47,2021-11-22
Singapore,2021-FY,2021-W48,23191,2021,48,2021-11-29
Singapore,2021-FY,2021-W49,27132,2021,49,2021-12-06
Singapore,2021-FY,2021-W50,29727,2021,50,2021-12-13
Singapore,2021-FY,2021-W51,30312,2021,51,2021-12-20
Singapore,2021-FY,2021-W52,29887,2021,52,2021-12-27
Singapore,2022-FY,2022-W01,29097,2022,1,2022-01-03
Singapore,2022-FY,2022-W02,25745,2022,2,2022-01-10
Singapore,2022-FY,2022-W03,27551,2022,3,2022-01-17
Singapore,2022-FY,2022-W04,28177,2022,4,2022-01-24
Singapore,2022-FY,2022-W05,29315,2022,5,2022-01-31
Singapore,2022-FY,2022-W06,31046,2022,6,2022-02-07
Singapore,2022-FY,2022-W07,30075,2022,7,2022-02-14
Singapore,2022-FY,2022-W08,29790,2022,8,2022-02-21
Singapore,2022-FY,2022-W09,27137,2022,9,2022-02-28
Singapore,2022-FY,2022-W10,28648,2022,10,2022-03-07
Singapore,2022-FY,2022-W11,28790,2022,11,2022-03-14
Singapore,2022-FY,2022-W12,29430,2022,12,2022-03-21
Singapore,2022-FY,2022-W13,28695,2022,13,2022-03-28
Singapore,2022-FY,2022-W14,28880,2022,14,2022-04-04
Singapore,2022-FY,2022-W15,29113,2022,15,2022-04-11
Singapore,2022-FY,2022-W16,36878,2022,16,2022-04-18
Singapore,2022-FY,2022-W17,36091,2022,17,2022-04-25
Singapore,2022-FY,2022-W18,37295,2022,18,2022-05-02
Singapore,2022-FY,2022-W19,38724,2022,19,2022-05-09
Singapore,2022-FY,2022-W20,36728,2022,20,2022-05-16
Singapore,2022-FY,2022-W21,36138,2022,21,2022-05-23
Singapore,2022-FY,2022-W22,38809,2022,22,2022-05-30
Singapore,2022-FY,2022-W23,37880,2022,23,2022-06-06
Singapore,2022-FY,2022-W24,36023,2022,24,2022-06-13
Singapore,2022-FY,2022-W25,33601,2022,25,2022-06-20
Singapore,2022-FY,2022-W26,35705,2022,26,2022-06-27
Singapore,2022-FY,2022-W27,35210,2022,27,2022-07-04
Singapore,2022-FY,2022-W28,33815,2022,28,2022-07-11
Singapore,2022-FY,2022-W29,31829,2022,29,2022-07-18
Singapore,2022-FY,2022-W30,31445,2022,30,2022-07-25
Singapore,2022-FY,2022-W31,31395,2022,31,2022-08-01
Singapore,2022-FY,2022-W32,32447,2022,32,2022-08-08
Singapore,2022-FY,2022-W33,30809,2022,33,2022-08-15
Singapore,2022-FY,2022-W34,30764,2022,34,2022-08-22
Singapore,2022-FY,2022-W35,34174,2022,35,2022-08-29
Singapore,2022-FY,2022-W36,36245,2022,36,2022-09-05
Singapore,2022-FY,2022-W37,36747,2022,37,2022-09-12
Singapore,2022-FY,2022-W38,36502,2022,38,2022-09-19
Singapore,2022-FY,2022-W39,36131,2022,39,2022-09-26
Singapore,2022-FY,2022-W40,33027,2022,40,2022-10-03
Singapore,2022-FY,2022-W41,37036,2022,41,2022-10-10
Singapore,2022-FY,2022-W42,35270,2022,42,2022-10-17
Singapore,2022-FY,2022-W43,41591,2022,43,2022-10-24
Singapore,2022-FY,2022-W44,39301,2022,44,2022-10-31
Singapore,2022-FY,2022-W45,35182,2022,45,2022-11-07
Singapore,2022-FY,2022-W46,34062,2022,46,2022-11-14
Singapore,2022-FY,2022-W47,28976,2022,47,2022-11-21
Singapore,2022-FY,2022-W48,26473,2022,48,2022-11-28
Singapore,2022-FY,2022-W49,30649,2022,49,2022-12-05
Singapore,2022-FY,2022-W50,34282,2022,50,2022-12-12
Singapore,2022-FY,2022-W51,35200,2022,51,2022-12-19
Singapore,2022-FY,2022-W52,34088,2022,52,2022-12-26
Singapore,2023-FY,2023-W01,28133,2023,1,2023-01-02
Singapore,2023-FY,2023-W02,35264,2023,2,2023-01-09
Singapore,2023-FY,2023-W03,36883,2023,3,2023-01-16
Singapore,2023-FY,2023-W04,34968,2023,4,2023-01-23
Singapore,2023-FY,2023-W05,34594,2023,5,2023-01-30
Singapore,2023-FY,2023-W06,36491,2023,6,2023-02-06
Singapore,2023-FY,2023-W07,36375,2023,7,2023-02-13
Singapore,2023-FY,2023-W08,35449,2023,8,2023-02-20
Singapore,2023-FY,2023-W09,35523,2023,9,2023-02-27
Singapore,2023-FY,2023-W10,35051,2023,10,2023-03-06
Singapore,2023-FY,2023-W11,33071,2023,11,2023-03-13
Singapore,2023-FY,2023-W12,34252,2023,12,2023-03-20
Singapore,2023-FY,2023-W13,32498,2023,13,2023-03-27
Singapore,2023-FY,2023-W14,31011,2023,14,2023-04-03
Singapore,2023-FY,2023-W15,31976,2023,15,2023-04-10
Singapore,2023-FY,2023-W16,31283,2023,16,2023-04-17
Singapore,2023-FY,2023-W17,32999,2023,17,2023-04-24
Singapore,2023-FY,2023-W18,33082,2023,18,2023-05-01
Singapore,2023-FY,2023-W19,34135,2023,19,2023-05-08
Singapore,2023-FY,2023-W20,33132,2023,20,2023-05-15
Singapore,2023-FY,2023-W21,33779,2023,21,2023-05-22
Singapore,2023-FY,2023-W22,33963,2023,22,2023-05-29
Singapore,2023-FY,2023-W23,33960,2023,23,2023-06-05
Singapore,2023-FY,2023-W24,31746,2023,24,2023-06-12
Singapore,2023-FY,2023-W25,33221,2023,25,2023-06-19
Singapore,2023-FY,2023-W26,33292,2023,26,2023-06-26
Singapore,2023-FY,2023-W27,33448,2023,27,2023-07-03
Singapore,2023-FY,2023-W28,34395,2023,28,2023-07-10
Singapore,2023-FY,2023-W29,33228,2023,29,2023-07-17
Singapore,2023-FY,2023-W30,32003,2023,30,2023-07-24
Singapore,2023-FY,2023-W31,31997,2023,31,2023-07-31
Singapore,2023-FY,2023-W32,31517,2023,32,2023-08-07
Singapore,2023-FY,2023-W33,29058,2023,33,2023-08-14
Singapore,2023-FY,2023-W34,29678,2023,34,2023-08-21
Singapore,2023-FY,2023-W35,29676,2023,35,2023-08-28
Singapore,2023-FY,2023-W36,28919,2023,36,2023-09-04
Singapore,2023-FY,2023-W37,30160,2023,37,2023-09-11
Singapore,2023-FY,2023-W38,29117,2023,38,2023-09-18
Singapore,2023-FY,2023-W39,26242,2023,39,2023-09-25
Singapore,2023-FY,2023-W40,28614,2023,40,2023-10-02
Singapore,2023-FY,2023-W41,32256,2023,41,2023-10-09
Singapore,2023-FY,2023-W42,31600,2023,42,2023-10-16
Singapore,2023-FY,2023-W43,32101,2023,43,2023-10-23
Singapore,2023-FY,2023-W44,31073,2023,44,2023-10-30
Singapore,2023-FY,2023-W45,26967,2023,45,2023-11-06
Singapore,2023-FY,2023-W46,28535,2023,46,2023-11-13
Singapore,2023-FY,2023-W47,25275,2023,47,2023-11-20
Singapore,2023-FY,2023-W48,22387,2023,48,2023-11-27
Singapore,2023-FY,2023-W49,24753,2023,49,2023-12-04
Singapore,2023-FY,2023-W50,26423,2023,50,2023-12-11
Singapore,2023-FY,2023-W51,24645,2023,51,2023-12-18
Singapore,2023-FY,2023-W52,21009,2023,52,2023-12-25
Singapore,2023-FY,2023-W53,26592,2023,53,2024-01-01
Singapore,2024-FY,2024-W01,28201,2024,1,2024-01-08
Singapore,2024-FY,2024-W02,28604,2024,2,2024-01-15
Singapore,2024-FY,2024-W03,29266,2024,3,2024-01-22
Singapore,2024-FY,2024-W04,29621,2024,4,2024-01-29
Singapore,2024-FY,2024-W05,29862,2024,5,2024-02-05
Singapore,2024-FY,2024-W06,31173,2024,6,2024-02-12
Singapore,2024-FY,2024-W07,29131,2024,7,2024-02-19
Singapore,2024-FY,2024-W08,28629,2024,8,2024-02-26
Singapore,2024-FY,2024-W09,25900,2024,9,2024-03-04
Singapore,2024-FY,2024-W10,25763,2024,10,2024-03-11
Singapore,2024-FY,2024-W11,25913,2024,11,2024-03-18
Singapore,2024-FY,2024-W12,25159,2024,12,2024-03-25
Singapore,2024-FY,2024-W13,25736,2024,13,2024-04-01
Singapore,2024-FY,2024-W14,26489,2024,14,2024-04-08
Singapore,2024-FY,2024-W15,26025,2024,15,2024-04-15
Singapore,2024-FY,2024-W16,25300,2024,16,2024-04-22
Singapore,2024-FY,2024-W17,23946,2024,17,2024-04-29
Singapore,2024-FY,2024-W18,25319,2024,18,2024-05-06
Singapore,2024-FY,2024-W19,25284,2024,19,2024-05-13
Singapore,2024-FY,2024-W20,24758,2024,20,2024-05-20
Singapore,2024-FY,2024-W21,23869,2024,21,2024-05-27
Singapore,2024-FY,2024-W22,25518,2024,22,2024-06-03
Singapore,2024-FY,2024-W23,27198,2024,23,2024-06-10
Singapore,2024-FY,2024-W24,25962,2024,24,2024-06-17
Singapore,2024-FY,2024-W25,26084,2024,25,2024-06-24
Singapore,2024-FY,2024-W26,27028,2024,26,2024-07-01
Singapore,2024-FY,2024-W27,24913,2024,27,2024-07-08
