Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
Spain,2019-FY,2019-W01,39163,2019,1,2019-01-07
Spain,2019-FY,2019-W02,37485,2019,2,2019-01-14
Spain,2019-FY,2019-W03,39047,2019,3,2019-01-21
Spain,2019-FY,2019-W04,40028,2019,4,2019-01-28
Spain,2019-FY,2019-W05,39625,2019,5,2019-02-04
Spain,2019-FY,2019-W06,38545,2019,6,2019-02-11
Spain,2019-FY,2019-W07,36959,2019,7,2019-02-18
Spain,2019-FY,2019-W08,29750,2019,8,2019-02-25
Spain,2019-FY,2019-W09,35765,2019,9,2019-03-04
Spain,2019-FY,2019-W10,37077,2019,10,2019-03-11
Spain,2019-FY,2019-W11,35892,2019,11,2019-03-18
Spain,2019-FY,2019-W12,34438,2019,12,2019-03-25
Spain,2019-FY,2019-W13,30356,2019,13,2019-04-01
Spain,2019-FY,2019-W14,36162,2019,14,2019-04-08
Spain,2019-FY,2019-W15,36281,2019,15,2019-04-15
Spain,2019-FY,2019-W16,35695,2019,16,2019-04-22
Spain,2019-FY,2019-W17,35506,2019,17,2019-04-29
Spain,2019-FY,2019-W18,36826,2019,18,2019-05-06
Spain,2019-FY,2019-W19,35711,2019,19,2019-05-13
Spain,2019-FY,2019-W20,32945,2019,20,2019-05-20
Spain,2019-FY,2019-W21,32393,2019,21,2019-05-27
Spain,2019-FY,2019-W22,33516,2019,22,2019-06-03
Spain,2019-FY,2019-W23,34807,2019,23,2019-06-10
Spain,2019-FY,2019-W24,36808,2019,24,2019-06-17
Spain,2019-FY,2019-W25,37669,2019,25,2019-06-24
Spain,2019-FY,2019-W26,37377,2019,26,2019-07-01
Spain,2019-FY,2019-W27,32779,2019,27,2019-07-08
Spain,2019-FY,2019-W28,30979,2019,28,2019-07-15
Spain,2019-FY,2019-W29,33231,2019,29,2019-07-22
Spain,2019-FY,2019-W30,38017,2019,30,2019-07-29
Spain,2019-FY,2019-W31,41231,2019,31,2019-08-05
Spain,2019-FY,2019-W32,43118,2019,32,2019-08-12
Spain,2019-FY,2019-W33,45598,2019,33,2019-08-19
Spain,2019-FY,2019-W34,45426,2019,34,2019-08-26
Spain,2019-FY,2019-W35,45842,2019,35,2019-09-02
Spain,2019-FY,2019-W36,42712,2019,36,2019-09-09
Spain,2019-FY,2019-W37,45521,2019,37,2019-09-16
Spain,2019-FY,2019-W38,46089,2019,38,2019-09-23
Spain,2019-FY,2019-W39,42626,2019,39,2019-09-30
Spain,2019-FY,2019-W40,47485,2019,40,2019-10-07
Spain,2019-FY,2019-W41,52609,2019,41,2019-10-14
Spain,2019-FY,2019-W42,77079,2019,42,2019-10-21
Spain,2019-FY,2019-W43,57197,2019,43,2019-10-28
Spain,2019-FY,2019-W44,41541,2019,44,2019-11-04
Spain,2019-FY,2019-W45,43395,2019,45,2019-11-11
Spain,2019-FY,2019-W46,40966,2019,46,2019-11-18
Spain,2019-FY,2019-W47,32079,2019,47,2019-11-25
Spain,2019-FY,2019-W48,31016,2019,48,2019-12-02
Spain,2019-FY,2019-W49,45616,2019,49,2019-12-09
Spain,2019-FY,2019-W50,48545,2019,50,2019-12-16
Spain,2019-FY,2019-W51,48545,2019,51,2019-12-23
Spain,2019-FY,2019-W52,46041,2019,52,2019-12-30
Spain,2020-FY,2020-W01,45631,2020,1,2020-01-06
Spain,2020-FY,2020-W02,45341,2020,2,2020-01-13
Spain,2020-FY,2020-W03,44535,2020,3,2020-01-20
