Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
Sweden,2019-FY,2019-W01,10039,2019,1,2019-01-07
Sweden,2019-FY,2019-W02,10086,2019,2,2019-01-14
Sweden,2019-FY,2019-W03,9427,2019,3,2019-01-21
Sweden,2019-FY,2019-W04,9285,2019,4,2019-01-28
Sweden,2019-FY,2019-W05,9607,2019,5,2019-02-04
Sweden,2019-FY,2019-W06,9277,2019,6,2019-02-11
Sweden,2019-FY,2019-W07,8953,2019,7,2019-02-18
Sweden,2019-FY,2019-W08,7698,2019,8,2019-02-25
Sweden,2019-FY,2019-W09,8621,2019,9,2019-03-04
Sweden,2019-FY,2019-W10,8287,2019,10,2019-03-11
Sweden,2019-FY,2019-W11,8018,2019,11,2019-03-18
Sweden,2019-FY,2019-W12,8115,2019,12,2019-03-25
Sweden,2019-FY,2019-W13,7293,2019,13,2019-04-01
Sweden,2019-FY,2019-W14,6572,2019,14,2019-04-08
Sweden,2019-FY,2019-W15,7594,2019,15,2019-04-15
Sweden,2019-FY,2019-W16,7483,2019,16,2019-04-22
Sweden,2019-FY,2019-W17,7478,2019,17,2019-04-29
Sweden,2019-FY,2019-W18,6930,2019,18,2019-05-06
Sweden,2019-FY,2019-W19,7486,2019,19,2019-05-13
Sweden,2019-FY,2019-W20,7479,2019,20,2019-05-20
Sweden,2019-FY,2019-W21,8005,2019,21,2019-05-27
Sweden,2019-FY,2019-W22,6782,2019,22,2019-06-03
Sweden,2019-FY,2019-W23,6583,2019,23,2019-06-10
Sweden,2019-FY,2019-W24,6431,2019,24,2019-06-17
Sweden,2019-FY,2019-W25,6430,2019,25,2019-06-24
Sweden,2019-FY,2019-W26,7015,2019,26,2019-07-01
Sweden,2019-FY,2019-W27,8036,2019,27,2019-07-08
Sweden,2019-FY,2019-W28,9119,2019,28,2019-07-15
Sweden,2019-FY,2019-W29,9817,2019,29,2019-07-22
Sweden,2019-FY,2019-W30,10592,2019,30,2019-07-29
Sweden,2019-FY,2019-W31,10015,2019,31,2019-08-05
Sweden,2019-FY,2019-W32,9915,2019,32,2019-08-12
Sweden,2019-FY,2019-W33,9799,2019,33,2019-08-19
Sweden,2019-FY,2019-W34,9500,2019,34,2019-08-26
Sweden,2019-FY,2019-W35,9170,2019,35,2019-09-02
Sweden,2019-FY,2019-W36,8981,2019,36,2019-09-09
Sweden,2019-FY,2019-W37,8944,2019,37,2019-09-16
Sweden,2019-FY,2019-W38,8954,2019,38,2019-09-23
Sweden,2019-FY,2019-W39,8644,2019,39,2019-09-30
Sweden,2019-FY,2019-W40,9516,2019,40,2019-10-07
Sweden,2019-FY,2019-W41,10568,2019,41,2019-10-14
Sweden,2019-FY,2019-W42,16169,2019,42,2019-10-21
Sweden,2019-FY,2019-W43,12418,2019,43,2019-10-28
Sweden,2019-FY,2019-W44,9743,2019,44,2019-11-04
Sweden,2019-FY,2019-W45,9578,2019,45,2019-11-11
Sweden,2019-FY,2019-W46,8777,2019,46,2019-11-18
Sweden,2019-FY,2019-W47,7076,2019,47,2019-11-25
Sweden,2019-FY,2019-W48,6893,2019,48,2019-12-02
Sweden,2019-FY,2019-W49,10180,2019,49,2019-12-09
Sweden,2019-FY,2019-W50,10328,2019,50,2019-12-16
Sweden,2019-FY,2019-W51,10328,2019,51,2019-12-23
Sweden,2019-FY,2019-W52,10273,2019,52,2019-12-30
Sweden,2020-FY,2020-W01,9811,2020,1,2020-01-06
Sweden,2020-FY,2020-W02,9998,2020,2,2020-01-13
Sweden,2020-FY,2020-W03,9472,2020,3,2020-01-20
Sweden,2020-FY,2020-W04,9034,2020,4,2020-01-27
Sweden,2020-FY,2020-W05,9607,2020,5,2020-02-03
Sweden,2020-FY,2020-W06,9958,2020,6,2020-02-10
Sweden,2020-FY,2020-W07,10106,2020,7,2020-02-17
Sweden,2020-FY,2020-W08,9429,2020,8,2020-02-24
Sweden,2020-FY,2020-W09,8342,2020,9,2020-03-02
