Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
Switzerland,2019-FY,2019-W01,9191,2019,1,2019-01-07
Switzerland,2019-FY,2019-W02,8998,2019,2,2019-01-14
Switzerland,2019-FY,2019-W03,9131,2019,3,2019-01-21
Switzerland,2019-FY,2019-W04,8897,2019,4,2019-01-28
Switzerland,2019-FY,2019-W05,9823,2019,5,2019-02-04
Switzerland,2019-FY,2019-W06,9179,2019,6,2019-02-11
Switzerland,2019-FY,2019-W07,9153,2019,7,2019-02-18
Switzerland,2019-FY,2019-W08,8017,2019,8,2019-02-25
Switzerland,2019-FY,2019-W09,8329,2019,9,2019-03-04
Switzerland,2019-FY,2019-W10,7786,2019,10,2019-03-11
Switzerland,2019-FY,2019-W11,7406,2019,11,2019-03-18
Switzerland,2019-FY,2019-W12,7271,2019,12,2019-03-25
Switzerland,2019-FY,2019-W13,7609,2019,13,2019-04-01
Switzerland,2019-FY,2019-W14,7091,2019,14,2019-04-08
Switzerland,2019-FY,2019-W15,8227,2019,15,2019-04-15
Switzerland,2019-FY,2019-W16,7610,2019,16,2019-04-22
Switzerland,2019-FY,2019-W17,8015,2019,17,2019-04-29
Switzerland,2019-FY,2019-W18,8084,2019,18,2019-05-06
Switzerland,2019-FY,2019-W19,7897,2019,19,2019-05-13
Switzerland,2019-FY,2019-W20,7768,2019,20,2019-05-20
Switzerland,2019-FY,2019-W21,8004,2019,21,2019-05-27
Switzerland,2019-FY,2019-W22,7721,2019,22,2019-06-03
Switzerland,2019-FY,2019-W23,8000,2019,23,2019-06-10
Switzerland,2019-FY,2019-W24,8332,2019,24,2019-06-17
Switzerland,2019-FY,2019-W25,8001,2019,25,2019-06-24
Switzerland,2019-FY,2019-W26,7594,2019,26,2019-07-01
Switzerland,2019-FY,2019-W27,8687,2019,27,2019-07-08
Switzerland,2019-FY,2019-W28,8935,2019,28,2019-07-15
Switzerland,2019-FY,2019-W29,9123,2019,29,2019-07-22
Switzerland,2019-FY,2019-W30,10107,2019,30,2019-07-29
Switzerland,2019-FY,2019-W31,10485,2019,31,2019-08-05
Switzerland,2019-FY,2019-W32,9796,2019,32,2019-08-12
Switzerland,2019-FY,2019-W33,10045,2019,33,2019-08-19
Switzerland,2019-FY,2019-W34,9941,2019,34,2019-08-26
Switzerland,2019-FY,2019-W35,9648,2019,35,2019-09-02
Switzerland,2019-FY,2019-W36,9684,2019,36,2019-09-09
Switzerland,2019-FY,2019-W37,9518,2019,37,2019-09-16
Switzerland,2019-FY,2019-W38,9605,2019,38,2019-09-23
Switzerland,2019-FY,2019-W39,10184,2019,39,2019-09-30
Switzerland,2019-FY,2019-W40,10668,2019,40,2019-10-07
Switzerland,2019-FY,2019-W41,11028,2019,41,2019-10-14
Switzerland,2019-FY,2019-W42,15383,2019,42,2019-10-21
Switzerland,2019-FY,2019-W43,12500,2019,43,2019-10-28
Switzerland,2019-FY,2019-W44,10920,2019,44,2019-11-04
Switzerland,2019-FY,2019-W45,10328,2019,45,2019-11-11
Switzerland,2019-FY,2019-W46,9170,2019,46,2019-11-18
Switzerland,2019-FY,2019-W47,6518,2019,47,2019-11-25
Switzerland,2019-FY,2019-W48,7243,2019,48,2019-12-02
Switzerland,2019-FY,2019-W49,11006,2019,49,2019-12-09
Switzerland,2019-FY,2019-W50,10951,2019,50,2019-12-16
Switzerland,2019-FY,2019-W51,10951,2019,51,2019-12-23
Switzerland,2019-FY,2019-W52,10422,2019,52,2019-12-30
Switzerland,2020-FY,2020-W01,9991,2020,1,2020-01-06
Switzerland,2020-FY,2020-W02,9951,2020,2,2020-01-13
Switzerland,2020-FY,2020-W03,9382,2020,3,2020-01-20
Switzerland,2020-FY,2020-W04,9541,2020,4,2020-01-27
Switzerland,2020-FY,2020-W05,9823,2020,5,2020-02-03
Switzerland,2020-FY,2020-W06,10025,2020,6,2020-02-10
Switzerland,2020-FY,2020-W07,9744,2020,7,2020-02-17
Switzerland,2020-FY,2020-W08,9129,2020,8,2020-02-24
Switzerland,2020-FY,2020-W09,8809,2020,9,2020-03-02
Switzerland,2020-FY,2020-W10,9457,2020,10,2020-03-09
Switzerland,2020-FY,2020-W11,7890,2020,11,2020-03-16
Switzerland,2020-FY,2020-W12,7298,2020,12,2020-03-23
Switzerland,2020-FY,2020-W13,8628,2020,13,2020-03-30
Switzerland,2020-FY,2020-W14,8861,2020,14,2020-04-06
Switzerland,2020-FY,2020-W15,8887,2020,15,2020-04-13
Switzerland,2020-FY,2020-W16,8558,2020,16,2020-04-20
Switzerland,2020-FY,2020-W17,7913,2020,17,2020-04-27
Switzerland,2020-FY,2020-W18,7766,2020,18,2020-05-04
Switzerland,2020-FY,2020-W19,8047,2020,19,2020-05-11
Switzerland,2020-FY,2020-W20,8445,2020,20,2020-05-18
Switzerland,2020-FY,2020-W21,8175,2020,21,2020-05-25
Switzerland,2020-FY,2020-W22,8669,2020,22,2020-06-01
Switzerland,2020-FY,2020-W23,9080,2020,23,2020-06-08
Switzerland,2020-FY,2020-W24,8211,2020,24,2020-06-15
Switzerland,2020-FY,2020-W25,7937,2020,25,2020-06-22
Switzerland,2020-FY,2020-W26,7322,2020,26,2020-06-29
Switzerland,2020-FY,2020-W27,8713,2020,27,2020-07-06
Switzerland,2020-FY,2020-W28,9310,2020,28,2020-07-13
Switzerland,2020-FY,2020-W29,10720,2020,29,2020-07-20
Switzerland,2020-FY,2020-W30,10572,2020,30,2020-07-27
Switzerland,2020-FY,2020-W31,10710,2020,31,2020-08-03
Switzerland,2020-FY,2020-W32,10859,2020,32,2020-08-10
Switzerland,2020-FY,2020-W33,10590,2020,33,2020-08-17
Switzerland,2020-FY,2020-W34,10288,2020,34,2020-08-24
Switzerland,2020-FY,2020-W35,10173,2020,35,2020-08-31
Switzerland,2020-FY,2020-W36,10813,2020,36,2020-09-07
Switzerland,2020-FY,2020-W37,10457,2020,37,2020-09-14
Switzerland,2020-FY,2020-W38,10909,2020,38,2020-09-21
Switzerland,2020-FY,2020-W39,10413,2020,39,2020-09-28
Switzerland,2020-FY,2020-W40,10940,2020,40,2020-10-05
Switzerland,2020-FY,2020-W41,11606,2020,41,2020-10-12
Switzerland,2020-FY,2020-W42,12459,2020,42,2020-10-19
Switzerland,2020-FY,2020-W43,18112,2020,43,2020-10-26
Switzerland,2020-FY,2020-W44,14065,2020,44,2020-11-02
Switzerland,2020-FY,2020-W45,11056,2020,45,2020-11-09
Switzerland,2020-FY,2020-W46,9879,2020,46,2020-11-16
Switzerland,2020-FY,2020-W47,6648,2020,47,2020-11-23
Switzerland,2020-FY,2020-W48,7057,2020,48,2020-11-30
Switzerland,2020-FY,2020-W49,11723,2020,49,2020-12-07
Switzerland,2020-FY,2020-W50,11860,2020,50,2020-12-14
Switzerland,2020-FY,2020-W51,12121,2020,51,2020-12-21
Switzerland,2020-FY,2020-W52,11647,2020,52,2020-12-28
Switzerland,2021-FY,2021-W01,13457,2021,1,2021-01-04
Switzerland,2021-FY,2021-W02,12778,2021,2,2021-01-11
Switzerland,2021-FY,2021-W03,11068,2021,3,2021-01-18
Switzerland,2021-FY,2021-W04,10608,2021,4,2021-01-25
Switzerland,2021-FY,2021-W05,11768,2021,5,2021-02-01
Switzerland,2021-FY,2021-W06,12172,2021,6,2021-02-08
Switzerland,2021-FY,2021-W07,13290,2021,7,2021-02-15
Switzerland,2021-FY,2021-W08,15130,2021,8,2021-02-22
Switzerland,2021-FY,2021-W09,15345,2021,9,2021-03-01
Switzerland,2021-FY,2021-W10,12156,2021,10,2021-03-08
Switzerland,2021-FY,2021-W11,8858,2021,11,2021-03-15
Switzerland,2021-FY,2021-W12,12426,2021,12,2021-03-22
Switzerland,2021-FY,2021-W13,13470,2021,13,2021-03-29
Switzerland,2021-FY,2021-W14,13113,2021,14,2021-04-05
Switzerland,2021-FY,2021-W15,15059,2021,15,2021-04-12
Switzerland,2021-FY,2021-W16,11926,2021,16,2021-04-19
Switzerland,2021-FY,2021-W17,13403,2021,17,2021-04-26
Switzerland,2021-FY,2021-W18,11693,2021,18,2021-05-03
Switzerland,2021-FY,2021-W19,13644,2021,19,2021-05-10
Switzerland,2021-FY,2021-W20,13799,2021,20,2021-05-17
Switzerland,2021-FY,2021-W21,11171,2021,21,2021-05-24
Switzerland,2021-FY,2021-W22,11422,2021,22,2021-05-31
Switzerland,2021-FY,2021-W23,10755,2021,23,2021-06-07
Switzerland,2021-FY,2021-W24,11356,2021,24,2021-06-14
Switzerland,2021-FY,2021-W25,10035,2021,25,2021-06-21
Switzerland,2021-FY,2021-W26,9387,2021,26,2021-06-28
Switzerland,2021-FY,2021-W27,10601,2021,27,2021-07-05
Switzerland,2021-FY,2021-W28,10781,2021,28,2021-07-12
Switzerland,2021-FY,2021-W29,11919,2021,29,2021-07-19
Switzerland,2021-FY,2021-W30,12189,2021,30,2021-07-26
Switzerland,2021-FY,2021-W31,12922,2021,31,2021-08-02
Switzerland,2021-FY,2021-W32,12027,2021,32,2021-08-09
Switzerland,2021-FY,2021-W33,11533,2021,33,2021-08-16
Switzerland,2021-FY,2021-W34,12026,2021,34,2021-08-23
Switzerland,2021-FY,2021-W35,12115,2021,35,2021-08-30
Switzerland,2021-FY,2021-W36,12246,2021,36,2021-09-06
Switzerland,2021-FY,2021-W37,12783,2021,37,2021-09-13
Switzerland,2021-FY,2021-W38,14236,2021,38,2021-09-20
Switzerland,2021-FY,2021-W39,15522,2021,39,2021-09-27
Switzerland,2021-FY,2021-W40,16054,2021,40,2021-10-04
Switzerland,2021-FY,2021-W41,16929,2021,41,2021-10-11
Switzerland,2021-FY,2021-W42,17751,2021,42,2021-10-18
Switzerland,2021-FY,2021-W43,26990,2021,43,2021-10-25
Switzerland,2021-FY,2021-W44,20467,2021,44,2021-11-01
Switzerland,2021-FY,2021-W45,14786,2021,45,2021-11-08
Switzerland,2021-FY,2021-W46,13590,2021,46,2021-11-15
Switzerland,2021-FY,2021-W47,10337,2021,47,2021-11-22
Switzerland,2021-FY,2021-W48,9474,2021,48,2021-11-29
Switzerland,2021-FY,2021-W49,14075,2021,49,2021-12-06
