Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
United Kingdom,2019-FY,2019-W01,155335,2019,1,2019-01-07
United Kingdom,2019-FY,2019-W02,151288,2019,2,2019-01-14
United Kingdom,2019-FY,2019-W03,162210,2019,3,2019-01-21
United Kingdom,2019-FY,2019-W04,148158,2019,4,2019-01-28
United Kingdom,2019-FY,2019-W05,131587,2019,5,2019-02-04
United Kingdom,2019-FY,2019-W06,141467,2019,6,2019-02-11
United Kingdom,2019-FY,2019-W07,144804,2019,7,2019-02-18
United Kingdom,2019-FY,2019-W08,130216,2019,8,2019-02-25
United Kingdom,2019-FY,2019-W09,129679,2019,9,2019-03-04
United Kingdom,2019-FY,2019-W10,130153,2019,10,2019-03-11
United Kingdom,2019-FY,2019-W11,123502,2019,11,2019-03-18
United Kingdom,2019-FY,2019-W12,125007,2019,12,2019-03-25
United Kingdom,2019-FY,2019-W13,128126,2019,13,2019-04-01
United Kingdom,2019-FY,2019-W14,113646,2019,14,2019-04-08
United Kingdom,2019-FY,2019-W15,123551,2019,15,2019-04-15
United Kingdom,2019-FY,2019-W16,116453,2019,16,2019-04-22
United Kingdom,2019-FY,2019-W17,107575,2019,17,2019-04-29
United Kingdom,2019-FY,2019-W18,119322,2019,18,2019-05-06
United Kingdom,2019-FY,2019-W19,121175,2019,19,2019-05-13
United Kingdom,2019-FY,2019-W20,122055,2019,20,2019-05-20
United Kingdom,2019-FY,2019-W21,118426,2019,21,2019-05-27
United Kingdom,2019-FY,2019-W22,118472,2019,22,2019-06-03
United Kingdom,2019-FY,2019-W23,134238,2019,23,2019-06-10
United Kingdom,2019-FY,2019-W24,146062,2019,24,2019-06-17
United Kingdom,2019-FY,2019-W25,129471,2019,25,2019-06-24
United Kingdom,2019-FY,2019-W26,133394,2019,26,2019-07-01
United Kingdom,2019-FY,2019-W27,127020,2019,27,2019-07-08
United Kingdom,2019-FY,2019-W28,134300,2019,28,2019-07-15
United Kingdom,2019-FY,2019-W29,140088,2019,29,2019-07-22
United Kingdom,2019-FY,2019-W30,140962,2019,30,2019-07-29
United Kingdom,2019-FY,2019-W31,146177,2019,31,2019-08-05
United Kingdom,2019-FY,2019-W32,151600,2019,32,2019-08-12
United Kingdom,2019-FY,2019-W33,147650,2019,33,2019-08-19
