Country,Fiscal Year,Fiscal Week,Global DGV NS Visits,year,week_number,date
United States,2019-FY,2019-W01,1170974,2019,1,2019-01-07
United States,2019-FY,2019-W02,1178535,2019,2,2019-01-14
United States,2019-FY,2019-W03,1199019,2019,3,2019-01-21
United States,2019-FY,2019-W04,1136948,2019,4,2019-01-28
United States,2019-FY,2019-W05,1134891,2019,5,2019-02-04
United States,2019-FY,2019-W06,1079451,2019,6,2019-02-11
United States,2019-FY,2019-W07,1047545,2019,7,2019-02-18
United States,2019-FY,2019-W08,1009346,2019,8,2019-02-25
United States,2019-FY,2019-W09,1036063,2019,9,2019-03-04
United States,2019-FY,2019-W10,1039081,2019,10,2019-03-11
United States,2019-FY,2019-W11,1052732,2019,11,2019-03-18
United States,2019-FY,2019-W12,1010501,2019,12,2019-03-25
United States,2019-FY,2019-W13,983572,2019,13,2019-04-01
United States,2019-FY,2019-W14,1023304,2019,14,2019-04-08
United States,2019-FY,2019-W15,1052892,2019,15,2019-04-15
United States,2019-FY,2019-W16,1084552,2019,16,2019-04-22
United States,2019-FY,2019-W17,1030877,2019,17,2019-04-29
United States,2019-FY,2019-W18,1049865,2019,18,2019-05-06
United States,2019-FY,2019-W19,1036726,2019,19,2019-05-13
United States,2019-FY,2019-W20,984524,2019,20,2019-05-20
United States,2019-FY,2019-W21,992206,2019,21,2019-05-27
United States,2019-FY,2019-W22,981899,2019,22,2019-06-03
United States,2019-FY,2019-W23,1089202,2019,23,2019-06-10
United States,2019-FY,2019-W24,1127184,2019,24,2019-06-17
United States,2019-FY,2019-W25,1082017,2019,25,2019-06-24
United States,2019-FY,2019-W26,1062961,2019,26,2019-07-01
United States,2019-FY,2019-W27,1058831,2019,27,2019-07-08
United States,2019-FY,2019-W28,1063704,2019,28,2019-07-15
United States,2019-FY,2019-W29,1048359,2019,29,2019-07-22
United States,2019-FY,2019-W30,1126551,2019,30,2019-07-29
United States,2019-FY,2019-W31,1076519,2019,31,2019-08-05
United States,2019-FY,2019-W32,1072239,2019,32,2019-08-12
United States,2019-FY,2019-W33,1048344,2019,33,2019-08-19
United States,2019-FY,2019-W34,1049209,2019,34,2019-08-26
United States,2019-FY,2019-W35,1040319,2019,35,2019-09-02
United States,2019-FY,2019-W36,1046850,2019,36,2019-09-09
United States,2019-FY,2019-W37,1057731,2019,37,2019-09-16
United States,2019-FY,2019-W38,1048820,2019,38,2019-09-23
United States,2019-FY,2019-W39,1129558,2019,39,2019-09-30
United States,2019-FY,2019-W40,1254311,2019,40,2019-10-07
United States,2019-FY,2019-W41,1404722,2019,41,2019-10-14
United States,2019-FY,2019-W42,1897889,2019,42,2019-10-21
United States,2019-FY,2019-W43,1881760,2019,43,2019-10-28
United States,2019-FY,2019-W44,1251183,2019,44,2019-11-04
United States,2019-FY,2019-W45,1209167,2019,45,2019-11-11
United States,2019-FY,2019-W46,1076485,2019,46,2019-11-18
United States,2019-FY,2019-W47,833681,2019,47,2019-11-25
United States,2019-FY,2019-W48,876134,2019,48,2019-12-02
United States,2019-FY,2019-W49,1160800,2019,49,2019-12-09
United States,2019-FY,2019-W50,1151319,2019,50,2019-12-16
United States,2019-FY,2019-W51,1151319,2019,51,2019-12-23
United States,2019-FY,2019-W52,1117629,2019,52,2019-12-30
United States,2020-FY,2020-W01,1158464,2020,1,2020-01-06
United States,2020-FY,2020-W02,1255752,2020,2,2020-01-13
United States,2020-FY,2020-W03,1284741,2020,3,2020-01-20
United States,2020-FY,2020-W04,1175649,2020,4,2020-01-27
United States,2020-FY,2020-W05,1134891,2020,5,2020-02-03
United States,2020-FY,2020-W06,1087522,2020,6,2020-02-10
United States,2020-FY,2020-W07,1090423,2020,7,2020-02-17
United States,2020-FY,2020-W08,1054847,2020,8,2020-02-24
United States,2020-FY,2020-W09,987046,2020,9,2020-03-02
United States,2020-FY,2020-W10,986308,2020,10,2020-03-09
United States,2020-FY,2020-W11,950806,2020,11,2020-03-16
United States,2020-FY,2020-W12,936005,2020,12,2020-03-23
United States,2020-FY,2020-W13,893677,2020,13,2020-03-30
United States,2020-FY,2020-W14,898768,2020,14,2020-04-06
United States,2020-FY,2020-W15,921008,2020,15,2020-04-13
United States,2020-FY,2020-W16,970005,2020,16,2020-04-20
United States,2020-FY,2020-W17,984346,2020,17,2020-04-27
United States,2020-FY,2020-W18,962946,2020,18,2020-05-04
United States,2020-FY,2020-W19,1035053,2020,19,2020-05-11
United States,2020-FY,2020-W20,1026918,2020,20,2020-05-18
United States,2020-FY,2020-W21,1050391,2020,21,2020-05-25
United States,2020-FY,2020-W22,1019228,2020,22,2020-06-01
United States,2020-FY,2020-W23,1138028,2020,23,2020-06-08
United States,2020-FY,2020-W24,1149966,2020,24,2020-06-15
United States,2020-FY,2020-W25,1053370,2020,25,2020-06-22
United States,2020-FY,2020-W26,1055639,2020,26,2020-06-29
United States,2020-FY,2020-W27,1049026,2020,27,2020-07-06
United States,2020-FY,2020-W28,1049693,2020,28,2020-07-13
United States,2020-FY,2020-W29,1117490,2020,29,2020-07-20
United States,2020-FY,2020-W30,1151315,2020,30,2020-07-27
United States,2020-FY,2020-W31,1144949,2020,31,2020-08-03
United States,2020-FY,2020-W32,1095226,2020,32,2020-08-10
United States,2020-FY,2020-W33,1089508,2020,33,2020-08-17
United States,2020-FY,2020-W34,1026532,2020,34,2020-08-24
United States,2020-FY,2020-W35,1007693,2020,35,2020-08-31
United States,2020-FY,2020-W36,959664,2020,36,2020-09-07
United States,2020-FY,2020-W37,940144,2020,37,2020-09-14
United States,2020-FY,2020-W38,910888,2020,38,2020-09-21
United States,2020-FY,2020-W39,918575,2020,39,2020-09-28
United States,2020-FY,2020-W40,1039809,2020,40,2020-10-05
United States,2020-FY,2020-W41,1108321,2020,41,2020-10-12
United States,2020-FY,2020-W42,1302017,2020,42,2020-10-19
United States,2020-FY,2020-W43,1725255,2020,43,2020-10-26
United States,2020-FY,2020-W44,1801579,2020,44,2020-11-02
United States,2020-FY,2020-W45,1197118,2020,45,2020-11-09
United States,2020-FY,2020-W46,1082978,2020,46,2020-11-16
United States,2020-FY,2020-W47,770154,2020,47,2020-11-23
United States,2020-FY,2020-W48,821939,2020,48,2020-11-30
United States,2020-FY,2020-W49,1022169,2020,49,2020-12-07
United States,2020-FY,2020-W50,1030611,2020,50,2020-12-14
United States,2020-FY,2020-W51,976602,2020,51,2020-12-21
United States,2020-FY,2020-W52,984134,2020,52,2020-12-28
United States,2021-FY,2021-W01,1044744,2021,1,2021-01-04
United States,2021-FY,2021-W02,1115200,2021,2,2021-01-11
United States,2021-FY,2021-W03,958340,2021,3,2021-01-18
United States,2021-FY,2021-W04,895594,2021,4,2021-01-25
United States,2021-FY,2021-W05,936156,2021,5,2021-02-01
United States,2021-FY,2021-W06,936835,2021,6,2021-02-08
United States,2021-FY,2021-W07,1026770,2021,7,2021-02-15
United States,2021-FY,2021-W08,1065106,2021,8,2021-02-22
United States,2021-FY,2021-W09,1090310,2021,9,2021-03-01
United States,2021-FY,2021-W10,1076871,2021,10,2021-03-08
United States,2021-FY,2021-W11,918278,2021,11,2021-03-15
United States,2021-FY,2021-W12,1181714,2021,12,2021-03-22
United States,2021-FY,2021-W13,1168984,2021,13,2021-03-29
United States,2021-FY,2021-W14,1188735,2021,14,2021-04-05
United States,2021-FY,2021-W15,1347496,2021,15,2021-04-12
United States,2021-FY,2021-W16,1375230,2021,16,2021-04-19
United States,2021-FY,2021-W17,1305758,2021,17,2021-04-26
United States,2021-FY,2021-W18,1203078,2021,18,2021-05-03
United States,2021-FY,2021-W19,1331152,2021,19,2021-05-10
United States,2021-FY,2021-W20,1261919,2021,20,2021-05-17
United States,2021-FY,2021-W21,1233763,2021,21,2021-05-24
United States,2021-FY,2021-W22,1183875,2021,22,2021-05-31
United States,2021-FY,2021-W23,1214303,2021,23,2021-06-07
United States,2021-FY,2021-W24,1227203,2021,24,2021-06-14
United States,2021-FY,2021-W25,1241053,2021,25,2021-06-21
United States,2021-FY,2021-W26,1218679,2021,26,2021-06-28
United States,2021-FY,2021-W27,1289471,2021,27,2021-07-05
United States,2021-FY,2021-W28,1255105,2021,28,2021-07-12
United States,2021-FY,2021-W29,1267772,2021,29,2021-07-19
United States,2021-FY,2021-W30,1259634,2021,30,2021-07-26
United States,2021-FY,2021-W31,1274451,2021,31,2021-08-02
United States,2021-FY,2021-W32,1187043,2021,32,2021-08-09
United States,2021-FY,2021-W33,1211658,2021,33,2021-08-16
United States,2021-FY,2021-W34,1151360,2021,34,2021-08-23
United States,2021-FY,2021-W35,1099816,2021,35,2021-08-30
United States,2021-FY,2021-W36,1105090,2021,36,2021-09-06
United States,2021-FY,2021-W37,1203660,2021,37,2021-09-13
United States,2021-FY,2021-W38,1154430,2021,38,2021-09-20
United States,2021-FY,2021-W39,1131029,2021,39,2021-09-27
United States,2021-FY,2021-W40,1120946,2021,40,2021-10-04
United States,2021-FY,2021-W41,1254908,2021,41,2021-10-11
United States,2021-FY,2021-W42,1465168,2021,42,2021-10-18
United States,2021-FY,2021-W43,1617682,2021,43,2021-10-25
United States,2021-FY,2021-W44,1728739,2021,44,2021-11-01
United States,2021-FY,2021-W45,1246398,2021,45,2021-11-08
United States,2021-FY,2021-W46,1173288,2021,46,2021-11-15
United States,2021-FY,2021-W47,893232,2021,47,2021-11-22
United States,2021-FY,2021-W48,911523,2021,48,2021-11-29
United States,2021-FY,2021-W49,1089139,2021,49,2021-12-06
United States,2021-FY,2021-W50,1188950,2021,50,2021-12-13
United States,2021-FY,2021-W51,1184280,2021,51,2021-12-20
United States,2021-FY,2021-W52,1202378,2021,52,2021-12-27
United States,2022-FY,2022-W01,1179489,2022,1,2022-01-03
United States,2022-FY,2022-W02,1179265,2022,2,2022-01-10
United States,2022-FY,2022-W03,1125055,2022,3,2022-01-17
United States,2022-FY,2022-W04,1166833,2022,4,2022-01-24
United States,2022-FY,2022-W05,1172452,2022,5,2022-01-31
United States,2022-FY,2022-W06,1127223,2022,6,2022-02-07
United States,2022-FY,2022-W07,1184025,2022,7,2022-02-14
United States,2022-FY,2022-W08,1147380,2022,8,2022-02-21
United States,2022-FY,2022-W09,1058813,2022,9,2022-02-28
United States,2022-FY,2022-W10,1057968,2022,10,2022-03-07
United States,2022-FY,2022-W11,1098657,2022,11,2022-03-14
United States,2022-FY,2022-W12,1105206,2022,12,2022-03-21
United States,2022-FY,2022-W13,1071586,2022,13,2022-03-28
United States,2022-FY,2022-W14,1028114,2022,14,2022-04-04
United States,2022-FY,2022-W15,1072601,2022,15,2022-04-11
United States,2022-FY,2022-W16,1105921,2022,16,2022-04-18
United States,2022-FY,2022-W17,1111084,2022,17,2022-04-25
United States,2022-FY,2022-W18,1080157,2022,18,2022-05-02
United States,2022-FY,2022-W19,1115984,2022,19,2022-05-09
United States,2022-FY,2022-W20,1102989,2022,20,2022-05-16
United States,2022-FY,2022-W21,1141732,2022,21,2022-05-23
United States,2022-FY,2022-W22,1129204,2022,22,2022-05-30
United States,2022-FY,2022-W23,1096374,2022,23,2022-06-06
United States,2022-FY,2022-W24,1109548,2022,24,2022-06-13
United States,2022-FY,2022-W25,1037439,2022,25,2022-06-20
United States,2022-FY,2022-W26,1040708,2022,26,2022-06-27
United States,2022-FY,2022-W27,1030930,2022,27,2022-07-04
United States,2022-FY,2022-W28,1034535,2022,28,2022-07-11
United States,2022-FY,2022-W29,1021912,2022,29,2022-07-18
United States,2022-FY,2022-W30,1045856,2022,30,2022-07-25
United States,2022-FY,2022-W31,1058910,2022,31,2022-08-01
United States,2022-FY,2022-W32,1028763,2022,32,2022-08-08
United States,2022-FY,2022-W33,1046177,2022,33,2022-08-15
United States,2022-FY,2022-W34,1019978,2022,34,2022-08-22
United States,2022-FY,2022-W35,1071227,2022,35,2022-08-29
United States,2022-FY,2022-W36,1124017,2022,36,2022-09-05
United States,2022-FY,2022-W37,1136506,2022,37,2022-09-12
United States,2022-FY,2022-W38,1197990,2022,38,2022-09-19
United States,2022-FY,2022-W39,1188769,2022,39,2022-09-26
United States,2022-FY,2022-W40,1142625,2022,40,2022-10-03
United States,2022-FY,2022-W41,1387459,2022,41,2022-10-10
United States,2022-FY,2022-W42,1724293,2022,42,2022-10-17
United States,2022-FY,2022-W43,2208310,2022,43,2022-10-24
United States,2022-FY,2022-W44,2272459,2022,44,2022-10-31
United States,2022-FY,2022-W45,1306405,2022,45,2022-11-07
United States,2022-FY,2022-W46,1105249,2022,46,2022-11-14
United States,2022-FY,2022-W47,936849,2022,47,2022-11-21
United States,2022-FY,2022-W48,897604,2022,48,2022-11-28
United States,2022-FY,2022-W49,1020124,2022,49,2022-12-05
