ActualValues,PredictedValuues
1009023.0,954623.8444506155
983276.0,960772.2255826427
960747.0,945935.4138564578
965306.0,950397.4417595018
952953.0,959738.4280454578
912396.0,966416.2439177765
919589.0,940989.4222792726
918360.0,948210.8463754966
842523.0,983305.1086936652
839295.0,966272.620145893
868314.0,962525.840077057
887070.0,970744.3528687592
882274.0,1022389.4014578601
930914.0,998939.074618465
830978.0,1001542.5347274789
839954.0,1000538.490934069
818222.0,985570.3844538904
867142.0,1021872.1906435818
937274.0,1030900.2007168673
1040264.0,1043091.0425358808
923099.0,1027119.0804043296
864134.0,1082203.1073710823
1014805.0,1088751.4911800534
945077.0,1046956.5452081818
909239.0,1035713.5175374711
886430.0,1062813.2821259852
906359.0,1066377.9362975531
