ActualValues,PredictedValuues
1009023.0,1031491.6
983276.0,1034652.3
960747.0,1000849.25
965306.0,1012789.0
952953.0,1043138.0
912396.0,909554.06
919589.0,1035968.6
918360.0,944577.25
842523.0,957604.7
839295.0,869129.9
868314.0,837845.44
887070.0,1083129.2
882274.0,1092944.0
930914.0,1036151.6
830978.0,923774.94
839954.0,1053551.1
818222.0,1133382.6
867142.0,1059173.1
937274.0,1116702.0
1040264.0,1104073.8
923099.0,1169634.5
864134.0,1092916.1
1014805.0,1117422.5
945077.0,902561.25
909239.0,1042457.3
886430.0,1016750.7
906359.0,990440.7
